gauge_id,cluster_kmeans,cluster_ward,extremity,delta_gap,delta_sm_drought,delta_freq,delta_whiplash
44002,1,0,25.18831865282121,-19.5,-33.37149999999997,0.26321839080459775,1.0
4005,0,1,10.924476838660798,9.5,-4.707575000000006,-0.4137931034482758,4.5
39069,0,1,9.831992511799813,9.0,-5.011074999999998,-0.11954022988505741,4.5
73011,0,1,9.439813483429852,4.0,-8.182149999999993,-0.33448275862068955,4.5
23008,0,1,8.870155828531619,20.5,-16.196300000000008,-0.1103448275862069,2.5
46008,0,1,7.874293118421267,15.0,-6.818349999999981,0.2528735632183908,3.5
27029,0,1,7.699277921348489,20.5,-13.545349999999985,0.19885057471264356,2.0
41014,0,1,7.6575683206460985,10.5,-5.878525000000003,0.028160919540229923,4.0
48003,1,0,7.643709744404449,-4.75,-25.04634999999996,0.21091954022988502,0.5
73015,0,1,6.788425497273357,4.5,-19.854049999999972,0.04137931034482767,3.5
15025,0,1,6.491524648679824,9.75,-14.602824999999996,-0.36091954022988515,3.5
49004,1,0,6.30318905017427,-3.5,-20.039350000000013,0.24712643678160923,-0.5
27003,0,1,6.012433512680022,12.25,-7.958325000000002,-0.0045977011494253706,3.5
67005,0,1,5.925808322419802,14.5,-3.757300000000015,0.012068965517241237,3.0
65006,1,0,5.88950042963311,-4.0,-4.345174999999998,-0.6540229885057469,2.5
75003,0,1,5.874375710978381,17.5,-4.8982249999999965,0.2764367816091955,2.0
41020,1,0,5.8429842551490685,3.75,-24.372274999999973,0.33620689655172414,1.5
28039,0,1,5.817093912213089,2.25,-12.471625000000017,-0.45344827586206904,3.5
28052,1,0,5.793397108883802,-9.25,-17.822725000000048,-0.09137931034482771,0.5
13004,0,1,5.497450022855979,15.25,-17.316100000000006,-0.3201149425287355,2.0
33033,1,0,5.418581145806124,-3.25,-21.358550000000008,0.1275862068965517,0.0
74006,1,0,5.210317435471431,-3.5,-3.805225,-0.3563218390804599,3.0
21024,0,1,5.080308371360391,16.0,-6.648750000000007,-0.16666666666666663,2.5
77002,1,0,5.025713696944845,-1.0,-4.150925000000001,-0.4706896551724138,3.0
73010,0,1,4.952812241463702,8.5,-9.926999999999992,0.07701149425287357,3.5
18001,0,1,4.879122858880747,6.25,-22.964600000000004,-0.20517241379310347,2.0
37019,0,1,4.861442278275817,8.25,-8.61862499999998,-0.12298850574712628,3.5
38018,1,0,4.803804796427393,-5.25,-18.31410000000001,0.12816091954022987,0.0
73005,0,1,4.7431840254281745,3.5,-7.9937499999999915,-0.26609195402298846,3.5
54025,0,1,4.581457581606093,17.0,-4.566024999999999,0.07528735632183906,1.5
54044,1,0,4.553055641988591,-5.75,-17.20835000000001,0.09367816091954018,0.0
15006,0,1,4.2743840329336455,14.25,-9.453525000000013,-0.2597701149425288,2.5
28081,1,0,4.261139806588056,-4.25,-17.978325000000012,0.11551724137931041,0.0
28023,1,0,4.1770336183750265,4.25,-21.87592500000001,0.3086206896551724,1.0
28085,0,1,4.108384669312592,14.5,-3.220649999999978,0.13678160919540228,2.0
27023,0,1,4.090625775911457,16.0,-9.688224999999989,0.09712643678160915,2.0
23001,0,1,3.977699016960347,15.0,-15.841525000000019,-0.1499999999999999,1.5
58008,1,0,3.87667592754293,0.0,-3.388300000000001,-0.560919540229885,0.0
56007,1,0,3.792753896368259,-4.5,-5.189200000000014,-0.5201149425287355,0.5
55032,1,0,3.7634064591741225,4.5,-19.55825,0.23678160919540225,0.0
33021,1,0,3.613138277806402,2.75,-19.717400000000026,0.16206896551724137,0.0
28055,0,1,3.4945214458443985,14.25,-9.396449999999987,0.21781609195402296,2.0
54024,1,0,3.376885731283017,0.25,-19.139725,-0.0034482758620689585,0.0
68020,1,0,3.359468929278016,3.75,-19.441674999999975,0.11551724137931019,0.0
37031,0,1,3.336907368345953,11.5,-13.667050000000017,0.09540229885057472,2.5
43008,1,0,3.309251651568581,6.25,-18.710924999999975,0.1649425287356322,0.0
21006,0,1,3.2956706285670565,3.0,-14.220124999999996,-0.10804597701149432,3.0
36003,1,0,3.151238777077479,-1.0,-17.23155,0.1614942528735632,0.0
27026,0,1,3.1050953089749194,13.25,-5.334450000000004,0.13505747126436773,2.0
17005,0,1,3.0452327992962185,8.0,-6.170124999999999,-0.2729885057471264,-0.5
15010,0,1,2.9098341568225408,3.75,-17.484225000000038,-0.07931034482758614,2.5
32008,1,0,2.8612750302432097,0.75,-17.63317500000001,0.11206896551724138,0.0
84012,1,0,2.778705088573031,6.75,-13.043175000000002,0.12988505747126433,-0.5
15013,0,1,2.7217534973193365,8.25,-8.194625000000002,-0.19482758620689666,-0.5
26008,1,0,2.6170139364207303,3.5,-17.761725000000013,0.0649425287356322,0.0
72014,1,0,2.547917208793455,0.25,-19.000099999999975,0.10747126436781607,1.5
28072,1,0,2.4675088166844565,-1.25,-15.513350000000017,0.0367816091954023,0.0
38004,1,0,2.431297141200412,1.5,-15.92489999999998,0.19310344827586207,0.0
84013,0,1,2.419431014475429,3.5,-19.358675000000005,-0.18218390804597684,1.5
33024,1,0,2.4014525216315263,5.5,-16.034549999999996,0.19195402298850575,0.0
27080,0,1,2.3900883077659363,12.5,-7.3786500000000075,-0.09482758620689657,2.0
43017,0,1,2.364007170282526,11.0,-9.60220000000001,0.12816091954022987,0.0
76003,1,0,2.361530129732353,-0.5,-18.506500000000017,0.006896551724137945,1.5
27021,0,1,2.196073044753084,13.0,-5.796175000000005,0.028735632183907955,1.0
9002,0,1,2.18929464509275,0.25,-14.725449999999967,-0.4086206896551723,0.5
14005,1,0,2.1284299580595385,7.5,-13.875024999999994,0.1931034482758621,0.0
52016,1,0,2.1115841610912467,-2.25,-15.040474999999986,0.1522988505747126,0.5
27089,0,1,2.0921146647386157,11.0,-12.576774999999998,-0.14885057471264374,2.0
83010,1,0,2.088475933956468,2.25,-3.404350000000001,-0.37356321839080464,2.0
39008,1,0,2.0578567906388217,4.5,-13.76524999999998,0.26379310344827583,0.0
16001,0,1,2.017169441740033,6.75,-5.555924999999995,-0.1597701149425288,2.5
17003,0,1,1.981770237598159,5.5,-18.360524999999996,-0.11954022988505753,1.5
27006,1,0,1.9447876526882533,-1.5,-16.617174999999975,0.10172413793103452,1.0
84014,0,1,1.9364796969132039,6.75,-9.236850000000004,-0.36609195402298855,0.0
41005,1,0,1.933909863943963,7.25,-14.955974999999967,0.27586206896551724,0.5
54029,1,0,1.8607751216045778,10.75,-12.01709999999997,0.25862068965517243,1.0
15021,1,0,1.8424649177934453,2.75,-14.66395,0.12816091954022987,0.0
27079,0,1,1.821793036764032,10.5,-9.57759999999999,0.14482758620689662,2.0
25021,0,1,1.7819176919394413,8.25,-11.803224999999998,-0.19942528735632187,0.0
40010,1,0,1.7633304182356095,-0.25,-16.757250000000028,0.12298850574712644,1.0
45009,0,1,1.721862764790778,11.25,-9.536675000000002,0.11149425287356321,0.5
54016,0,1,1.7133224416207313,11.5,-8.221225000000004,0.0373563218390805,0.5
4001,0,1,1.703392800634846,6.25,-6.0425499999999985,-0.26839080459770115,0.0
39001,1,0,1.6347980101231214,4.75,-14.018974999999983,0.09655172413793102,0.0
39025,1,0,1.6300233072366497,8.0,-14.206225000000018,0.20402298850574707,0.5
56013,0,1,1.6216054171019174,11.5,-6.629650000000012,0.04367816091954024,1.5
38029,1,0,1.5935768392335312,3.0,-14.263424999999984,0.030459770114942525,0.0
69002,0,1,1.5667820617062476,6.0,-10.816975,-0.2775862068965518,0.0
38021,1,0,1.522292708121669,7.75,-14.784999999999997,0.23620689655172405,1.0
28093,1,0,1.4844203513238174,6.75,-13.084599999999995,0.2764367816091954,0.5
84005,0,1,1.4465856488360187,7.25,-15.940075000000007,-0.1649425287356321,1.5
27025,0,1,1.3581305695380141,9.0,-6.580950000000001,0.02931034482758621,2.0
54095,1,0,1.2313861389732708,0.25,-14.23260000000002,0.2057471264367816,1.0
28012,1,0,1.2179098052668618,1.25,-14.371375,0.13103448275862073,0.5
28031,1,0,1.1013397861526821,5.25,-3.4066000000000045,-0.23563218390804608,1.5
25020,1,0,1.0477542767256023,-0.5,-12.869200000000006,0.018965517241379348,0.5
23016,1,0,0.9714911130797117,-1.5,-12.452300000000008,0.07758620689655171,1.0
84018,0,1,0.7230772554220393,2.75,-13.58529999999999,-0.19999999999999996,1.5
16004,0,1,0.6618077116246712,6.25,-7.871849999999995,-0.19827586206896552,0.5
54012,0,1,0.6429046677079818,8.0,-12.104674999999986,0.0482758620689655,1.0
18002,0,1,0.5830178559850935,5.5,-13.606449999999999,-0.03505747126436787,1.5
83007,0,1,0.5053650925708695,6.0,-9.67047500000001,-0.14137931034482754,0.5
