pair,median1,median2,n1,n2,pvalue,significant
England vs Scotland,-0.03332500000000005,-0.3564124999999998,345,164,9.852452863879858e-10,True
England vs Wales,-0.03332500000000005,0.2683749999999989,345,61,3.7447865800383885e-06,True
Scotland vs Wales,-0.3564124999999998,0.2683749999999989,164,61,3.4567373979666274e-10,True
