gauge_id,mean_sp_baseline,mean_sp_future,delta_mean_sp,max_sp_baseline,max_sp_future,delta_max_sp,rcp
1001,1.245066388888889,0.19670393055555557,-1.0483624583333335,102.89065,35.4346,-67.45604999999999,rcp26
2001,2.9214454265873018,0.6289370000000001,-2.2925084265873017,128.6105,46.967150000000004,-81.64335,rcp26
2002,4.092241706349206,0.9869331805555555,-3.105308525793651,176.31529999999998,69.21605,-107.09924999999998,rcp26
3003,4.119259201388889,1.1624692592592591,-2.95678994212963,173.62935,97.5813,-76.04804999999999,rcp26
4001,4.113160262896825,1.1987999166666667,-2.914360346230158,177.78235,92.735,-85.04735000000001,rcp26
4003,7.846346498015873,2.4218238750000003,-5.424522623015872,215.8662,147.43725,-68.42894999999999,rcp26
4005,6.557018888888889,2.147679787037037,-4.409339101851852,225.1814,126.49555000000001,-98.68584999999999,rcp26
4006,4.345498070436507,1.5905484351851853,-2.754949635251322,177.22390000000001,99.5137,-77.71020000000001,rcp26
5003,6.192450793650794,1.8397365462962965,-4.3527142473544975,225.4054,126.47625,-98.92914999999999,rcp26
6007,4.433514499007936,1.1542549537037035,-3.2792595453042326,145.95085,83.79925,-62.1516,rcp26
6008,4.520201413690477,1.3622684814814816,-3.157932932208995,133.8329,92.98745,-40.84545,rcp26
7001,14.594086542658731,5.598746157407408,-8.995340385251323,271.0403,194.3274,-76.71289999999999,rcp26
7002,8.571006984126983,3.110144592592593,-5.46086239153439,197.0117,111.8514,-85.16029999999999,rcp26
7003,3.2063960119047614,0.9533944444444444,-2.253001567460317,110.3945,81.57535,-28.819149999999993,rcp26
7005,3.3919742708333334,1.1002646111111112,-2.291709659722222,113.9599,69.75755,-44.20235000000001,rcp26
7006,5.392469672619048,1.8499242268518516,-3.542545445767196,185.89870000000002,97.13329999999999,-88.76540000000003,rcp26
8004,7.023122142857143,2.570367162037037,-4.452754980820106,194.15845,115.53614999999999,-78.6223,rcp26
8005,12.803416706349207,3.3078313101851853,-9.49558539616402,222.02859999999998,125.34299999999999,-96.6856,rcp26
8006,5.728788328373016,1.7838444074074074,-3.944943920965608,157.1858,90.29245,-66.89335,rcp26
8009,7.234082624007938,2.726000199074074,-4.508082424933864,164.76,94.20675,-70.55324999999999,rcp26
8011,5.6120746875,1.9411239305555554,-3.6709507569444444,182.48160000000001,110.3369,-72.14470000000001,rcp26
8013,16.354028665674605,5.578042152777778,-10.775986512896827,278.5603,170.9611,-107.5992,rcp26
9002,2.925421468253968,0.7295830277777778,-2.1958384404761904,132.4341,71.1237,-61.3104,rcp26
9003,2.438771527777778,0.5526396481481481,-1.8861318796296298,111.9797,76.60955,-35.370149999999995,rcp26
9004,3.4211490376984126,0.9328607777777778,-2.488288259920635,165.5784,92.35365,-73.22474999999999,rcp26
9005,6.546216438492063,2.1769084074074074,-4.369308031084656,195.31375,124.0501,-71.26365,rcp26
10002,0.8519934523809525,0.09665989814814815,-0.7553335542328043,86.21180000000001,40.887299999999996,-45.324500000000015,rcp26
10003,0.9287711755952381,0.07879492592592593,-0.8499762496693122,76.15639999999999,24.58535,-51.57104999999999,rcp26
11001,2.4822228769841272,0.5261556527777778,-1.9560672242063495,122.48835,48.53545,-73.9529,rcp26
11003,5.392222371031746,1.627602527777778,-3.764619843253968,155.0499,106.58664999999999,-48.463250000000016,rcp26
11004,2.25916154265873,0.4361187314814815,-1.8230428111772485,125.66365,47.913650000000004,-77.75,rcp26
12001,8.771816532738095,2.761004101851852,-6.010812430886243,169.15865000000002,111.7519,-57.40675000000002,rcp26
12002,6.0661777926587295,1.6147832962962965,-4.451394496362433,150.8388,106.2619,-44.576899999999995,rcp26
12005,14.531594171626985,4.353329263888889,-10.178264907738097,234.4389,158.57935,-75.85954999999998,rcp26
12006,6.870678249007936,2.519766800925926,-4.35091144808201,147.6951,101.43690000000001,-46.25819999999999,rcp26
12007,13.893073943452382,4.535486101851852,-9.35758784160053,248.1071,145.63165,-102.47545,rcp26
12008,2.8518946329365082,0.5854813796296297,-2.2664132533068786,140.63655,60.66795,-79.96860000000001,rcp26
12009,5.228833497023809,1.2316742685185185,-3.99715922850529,169.0629,93.4508,-75.61210000000001,rcp26
