metric,country,n,median,q25,q75
delta_gap,England,351,2.75,-1.0,7.625
delta_gap,Scotland,164,6.125,1.75,10.25
delta_gap,Wales,61,1.0,-2.25,3.75
delta_freq,England,351,0.18563218390804603,0.06551724137931035,0.2626436781609196
delta_freq,Scotland,164,-0.2413793103448275,-0.4784482758620689,-0.09008620689655175
delta_freq,Wales,61,-0.007471264367816088,-0.5195402298850575,0.16264367816091962
delta_smdr,England,351,0.16680761818341183,0.08026858956982491,0.26948112457239815
delta_smdr,Scotland,164,0.10107341927861208,0.05452747151495256,0.14898476582508458
delta_smdr,Wales,61,0.14471664135932139,0.08936276814032296,0.18045646479957522
delta_drought_sev,England,351,3.141487500000001,0.50789625,11.410837500000003
delta_drought_sev,Scotland,164,1.0082425000000002,0.1585899999999999,2.8574125000000006
delta_drought_sev,Wales,61,2.3598550000000005,0.77083,5.672524999999999
delta_drought_dur,England,351,55.0,5.5,90.0
delta_drought_dur,Scotland,164,3.75,1.25,10.75
delta_drought_dur,Wales,61,8.0,2.25,21.25
delta_flood_peak,England,351,0.05402499999999977,-0.14150000000000007,0.25150000000000006
delta_flood_peak,Scotland,164,-0.49128749999999943,-0.9495000000000007,-0.006575000000000664
delta_flood_peak,Wales,61,0.28407499999999786,-0.1283500000000002,0.8729999999999993
delta_sm_drought,England,351,-8.053349999999995,-12.200150000000022,-5.0939000000000085
delta_sm_drought,Scotland,164,-8.177275000000009,-12.941487499999983,-5.223431250000001
delta_sm_drought,Wales,61,-6.748625000000004,-8.964024999999992,-4.635499999999993
delta_whiplash,England,351,1.0,0.0,2.0
delta_whiplash,Scotland,164,1.0,0.0,2.0
delta_whiplash,Wales,61,1.0,0.5,1.5
