pair,median1,median2,n1,n2,pvalue,significant
England vs Scotland,0.16680761818341183,0.10107341927861208,351,164,1.3360103888919522e-08,True
England vs Wales,0.16680761818341183,0.14471664135932139,351,61,0.07431621805031789,False
Scotland vs Wales,0.10107341927861208,0.14471664135932139,164,61,0.0010570394519205297,True
