metric,h_stat,pvalue,significant
delta_gap,45.164810150101445,1.558066851227553e-10,True
delta_freq,139.28124499136098,5.6945830856540205e-31,True
delta_smdr,26.216011792529343,2.0289220896325267e-06,True
delta_drought_sev,29.644791986683913,3.653551315109534e-07,True
delta_drought_dur,77.56006774322748,1.4389486018234846e-17,True
delta_flood_peak,49.37851395474359,1.8949245938189905e-11,True
delta_sm_drought,33.77305850610394,4.6373889933373097e-08,True
delta_whiplash,52.78747034630147,3.4462474477838215e-12,True
