pair,median1,median2,n1,n2,pvalue,significant
England vs Scotland,0.056321839080459735,-0.20977011494252873,350,164,1.034041311663297e-30,True
England vs Wales,0.056321839080459735,-0.06264367816091954,350,61,1.0303046463959267e-06,True
Scotland vs Wales,-0.20977011494252873,-0.06264367816091954,164,61,0.002693211951231279,True
