pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,0.7049300000000003,0.02046750000000014,347,164,2.7906027464508006e-14,True,8.371808239352402e-14
England vs Wales,0.7049300000000003,0.6438500000000003,347,60,0.3212701208855745,False,0.3212701208855745
Scotland vs Wales,0.02046750000000014,0.6438500000000003,164,60,5.662511577244579e-05,True,0.00011325023154489158
