pair,median1,median2,n1,n2,pvalue,significant
England vs Scotland,0.09299401285428077,0.05893634139677864,347,164,0.0007270800365551215,True
England vs Wales,0.09299401285428077,0.07974985714141697,347,60,0.20072734052632413,False
Scotland vs Wales,0.05893634139677864,0.07974985714141697,164,60,0.13653462137159902,False
