pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,-0.014674999999999994,-0.18312500000000043,347,164,0.000883388444079315,True,0.000883388444079315
England vs Wales,-0.014674999999999994,0.4068624999999999,347,60,0.00014376410828403,True,0.00028752821656806
Scotland vs Wales,-0.18312500000000043,0.4068624999999999,164,60,3.388833409294093e-06,True,1.0166500227882278e-05
