pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,0.09369804232804269,0.03826181404849019,345,164,4.025816744120699e-07,True,1.2077450232362098e-06
England vs Wales,0.09369804232804269,0.07485559463684488,345,61,0.6283092225480179,False,0.6283092225480179
Scotland vs Wales,0.03826181404849019,0.07485559463684488,164,61,5.674939264231755e-05,True,0.0001134987852846351
