country,cluster_0_n,cluster_1_n,cluster_0_pct,cluster_1_pct
England,78,273,39.795918367346935,71.84210526315789
Scotland,96,68,48.97959183673469,17.894736842105264
Wales,22,39,11.224489795918368,10.263157894736842
