pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,-0.04599999999999971,-0.3466125,350,164,7.298554128698505e-09,True,2.1895662386095515e-08
England vs Wales,-0.04599999999999971,0.20429999999999637,350,61,0.0007446151374777346,True,0.0007446151374777346
Scotland vs Wales,-0.3466125,0.20429999999999637,164,61,4.607567695649163e-08,True,9.215135391298326e-08
