pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,2.75,6.125,351,164,3.888377080880066e-06,True,7.776754161760132e-06
England vs Wales,2.75,1.0,351,61,0.0073313425560868105,True,0.0073313425560868105
Scotland vs Wales,6.125,1.0,164,61,2.559938785725324e-08,True,7.679816357175973e-08
