pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,0.0373563218390805,-0.22816091954022988,347,164,5.515627485216821e-35,True,1.6546882455650463e-34
England vs Wales,0.0373563218390805,-0.09425287356321838,347,60,2.5272594700107374e-08,True,5.054518940021475e-08
Scotland vs Wales,-0.22816091954022988,-0.09425287356321838,164,60,0.015124784707031954,True,0.015124784707031954
