pair,median1,median2,n1,n2,pvalue,significant
England vs Scotland,3.141487500000001,1.0082425000000002,351,164,2.7374355621177142e-08,True
England vs Wales,3.141487500000001,2.3598550000000005,351,61,0.5462226850163231,False
Scotland vs Wales,1.0082425000000002,2.3598550000000005,164,61,0.0007165488975810451,True
