pair,median1,median2,n1,n2,pvalue,significant
England vs Scotland,55.0,3.75,351,164,1.187496356596703e-22,True
England vs Wales,55.0,8.0,351,61,1.0852010987057727e-05,True
Scotland vs Wales,3.75,8.0,164,61,0.02294040659476783,True
