metric,country,n,median,q25,q75
delta_gap,England,345,3.0,-1.5,8.25
delta_gap,Scotland,164,5.375,1.5,9.5625
delta_gap,Wales,61,-0.5,-4.5,3.25
delta_freq,England,345,0.007471264367816199,-0.0798850574712644,0.06149425287356322
delta_freq,Scotland,164,-0.20862068965517244,-0.38189655172413783,-0.06824712643678174
delta_freq,Wales,61,-0.07298850574712643,-0.2028735632183909,0.0373563218390805
delta_smdr,England,345,0.09369804232804269,0.013860051432751153,0.1780870867542419
delta_smdr,Scotland,164,0.03826181404849019,0.004424707106065753,0.07316772809423855
delta_smdr,Wales,61,0.07485559463684488,0.044172486191968785,0.12293668834990723
delta_drought_sev,England,345,0.4355425000000003,0.008674999999999988,2.09297
delta_drought_sev,Scotland,164,0.12949499999999997,-0.1928062500000002,1.1644156249999993
delta_drought_sev,Wales,61,0.4255300000000002,-0.030690000000000106,1.2548850000000007
delta_drought_dur,England,345,7.5,0.75,28.25
delta_drought_dur,Scotland,164,1.0,-0.25,4.75
delta_drought_dur,Wales,61,1.5,0.0,5.25
delta_flood_peak,England,345,-0.03332500000000005,-0.24167499999999986,0.1775
delta_flood_peak,Scotland,164,-0.3564124999999998,-1.0111749999999944,0.059412500000000534
delta_flood_peak,Wales,61,0.2683749999999989,-0.012699999999998823,0.7652000000000001
delta_sm_drought,England,345,-6.9358,-12.376675000000006,-4.052875000000029
delta_sm_drought,Scotland,164,-5.183462500000001,-9.710762499999994,-2.2135875000000027
delta_sm_drought,Wales,61,-3.922124999999994,-6.380524999999977,-2.5851250000000334
delta_whiplash,England,345,0.5,0.0,2.0
delta_whiplash,Scotland,164,0.0,-0.5,1.125
delta_whiplash,Wales,61,2.5,2.0,4.0
