metric,country,n,median,q25,q75
delta_gap,England,350,2.75,-1.5,7.25
delta_gap,Scotland,164,4.5,1.5,8.125
delta_gap,Wales,61,-2.5,-5.0,2.25
delta_freq,England,350,0.056321839080459735,-0.04152298850574708,0.1103448275862069
delta_freq,Scotland,164,-0.20977011494252873,-0.45660919540229883,-0.06048850574712644
delta_freq,Wales,61,-0.06264367816091954,-0.30459770114942586,0.0482758620689655
delta_smdr,England,350,0.11678549038067021,0.026974020676014912,0.19970125560123497
delta_smdr,Scotland,164,0.05287097054596651,0.022504588101668263,0.09043795335678215
delta_smdr,Wales,61,0.09293217095103912,0.029826161954939145,0.1420769605394605
delta_drought_sev,England,350,0.7421250000000001,0.07930000000000005,4.384043125000001
delta_drought_sev,Scotland,164,0.25671125000000017,-0.10257312500000001,1.1892593749999998
delta_drought_sev,Wales,61,0.7627025000000005,0.05925000000000047,1.8065700000000007
delta_drought_dur,England,350,12.875,2.0,54.1875
delta_drought_dur,Scotland,164,1.5,0.0,5.5
delta_drought_dur,Wales,61,2.75,0.75,7.5
delta_flood_peak,England,350,-0.04599999999999971,-0.23768749999999988,0.1544000000000002
delta_flood_peak,Scotland,164,-0.3466125,-0.9176625000000005,0.08973125000000048
delta_flood_peak,Wales,61,0.20429999999999637,-0.2758749999999992,0.7957250000000009
delta_sm_drought,England,350,-8.01898749999999,-13.052706249999993,-4.800687500000002
delta_sm_drought,Scotland,164,-5.415887500000004,-8.309750000000008,-3.6293062500000044
delta_sm_drought,Wales,61,-4.7886999999999915,-6.5136249999999905,-2.987325000000027
delta_whiplash,England,350,0.5,0.0,1.5
delta_whiplash,Scotland,164,0.5,0.0,2.0
delta_whiplash,Wales,61,2.5,1.0,4.0
