pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,3.0,5.375,345,164,0.00034914073407085364,True,0.00034914073407085364
England vs Wales,3.0,-0.5,345,61,1.3121591276057626e-05,True,2.6243182552115252e-05
Scotland vs Wales,5.375,-0.5,164,61,5.2969075405486355e-11,True,1.5890722621645906e-10
