gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,115,85,29,22
1001,dtf,61,32,29,2
2001,ftd,171,137,33,18
2001,dtf,71,38,33,1
2002,ftd,169,131,37,9
2002,dtf,103,66,37,4
3003,ftd,231,187,43,4
3003,dtf,98,55,43,2
4001,ftd,98,70,28,21
4001,dtf,62,34,27,8
4003,ftd,140,108,31,21
4003,dtf,70,39,31,3
4005,ftd,204,180,23,11
4005,dtf,59,36,23,2
4006,ftd,187,150,36,5
4006,dtf,106,70,36,4
5003,ftd,99,73,26,23
5003,dtf,86,60,25,11
6007,ftd,118,89,29,15
6007,dtf,95,66,28,8
6008,ftd,178,144,33,13
6008,dtf,83,50,33,4
7001,ftd,202,155,46,15
7001,dtf,105,59,46,3
7002,ftd,152,109,42,6
7002,dtf,103,61,42,1
7003,ftd,85,56,28,10
7003,dtf,126,97,29,7
7005,ftd,129,93,35,13
7005,dtf,92,57,35,0
7006,ftd,120,67,52,6
7006,dtf,171,118,53,2
8004,ftd,145,101,43,6
8004,dtf,127,84,43,1
8005,ftd,94,64,30,17
8005,dtf,88,58,29,7
8006,ftd,97,61,35,6
8006,dtf,127,91,36,10
8009,ftd,162,124,37,12
8009,dtf,104,67,37,5
8011,ftd,129,86,42,6
8011,dtf,117,74,43,8
8013,ftd,160,110,49,9
8013,dtf,126,77,49,6
9002,ftd,103,71,32,6
9002,dtf,119,86,32,5
9003,ftd,106,78,28,14
9003,dtf,57,29,27,2
9004,ftd,67,43,24,11
9004,dtf,78,53,24,9
9005,ftd,159,114,44,11
9005,dtf,132,88,44,2
10002,ftd,105,72,33,12
10002,dtf,106,73,32,1
10003,ftd,72,46,26,17
10003,dtf,66,40,25,6
11001,ftd,73,47,26,15
11001,dtf,75,48,26,9
11003,ftd,85,59,26,10
11003,dtf,83,56,26,12
11004,ftd,55,32,23,14
11004,dtf,59,35,23,8
12001,ftd,129,90,38,12
12001,dtf,106,68,38,3
12002,ftd,118,85,33,11
12002,dtf,93,60,32,3
12005,ftd,152,109,42,9
12005,dtf,105,63,42,2
12006,ftd,144,101,42,9
12006,dtf,110,68,42,1
12007,ftd,179,134,44,5
12007,dtf,122,78,44,2
12008,ftd,152,117,34,10
12008,dtf,65,31,34,1
12009,ftd,212,168,43,4
12009,dtf,109,66,43,0
13001,ftd,139,109,30,15
13001,dtf,59,29,29,1
13004,ftd,150,117,33,15
13004,dtf,94,61,32,0
13005,ftd,117,89,28,14
13005,dtf,61,33,27,1
13007,ftd,159,126,33,11
13007,dtf,86,53,32,0
13008,ftd,139,106,33,15
13008,dtf,85,52,32,2
14001,ftd,105,78,27,10
14001,dtf,60,33,26,6
14002,ftd,83,58,25,14
14002,dtf,53,27,25,5
14005,ftd,71,46,25,16
14005,dtf,60,34,25,9
15006,ftd,103,74,28,13
15006,dtf,89,61,28,5
15007,ftd,104,75,29,11
15007,dtf,107,78,28,4
15010,ftd,119,87,32,13
15010,dtf,101,68,32,3
15011,ftd,173,132,40,17
15011,dtf,126,86,40,0
15012,ftd,96,66,29,13
15012,dtf,93,64,29,6
15013,ftd,175,144,30,13
15013,dtf,65,35,30,0
15014,ftd,201,156,44,6
15014,dtf,127,83,44,3
15016,ftd,117,81,35,8
15016,dtf,114,79,35,6
15021,ftd,47,25,22,18
15021,dtf,45,22,22,5
15023,ftd,162,132,29,13
15023,dtf,54,25,29,0
15024,ftd,226,190,35,2
15024,dtf,108,73,35,3
15025,ftd,169,127,41,8
15025,dtf,116,75,41,3
15030,ftd,103,75,28,19
15030,dtf,65,37,27,2
15039,ftd,200,144,55,4
15039,dtf,129,74,55,2
16001,ftd,152,121,30,13
16001,dtf,77,47,30,1
16003,ftd,260,216,43,4
16003,dtf,114,71,43,1
16004,ftd,143,112,30,11
16004,dtf,94,64,30,1
17001,ftd,202,166,35,14
17001,dtf,91,56,35,0
17003,ftd,187,151,35,6
17003,dtf,125,90,35,2
17004,ftd,98,71,27,9
17004,dtf,86,58,27,4
17005,ftd,198,161,36,8
17005,dtf,108,72,36,0
17015,ftd,186,146,39,7
17015,dtf,120,81,39,2
17018,ftd,120,92,28,12
17018,dtf,72,44,27,4
18001,ftd,187,152,34,11
18001,dtf,106,72,34,0
18002,ftd,158,127,30,19
18002,dtf,71,41,30,0
18003,ftd,153,121,31,10
18003,dtf,85,54,31,3
18008,ftd,173,126,46,3
18008,dtf,147,101,46,1
18010,ftd,147,108,38,11
18010,dtf,115,77,38,1
18011,ftd,152,121,30,16
18011,dtf,78,48,30,3
18014,ftd,185,153,31,12
18014,dtf,104,73,31,1
18017,ftd,249,184,64,5
18017,dtf,127,63,64,5
18018,ftd,191,146,44,3
18018,dtf,136,92,44,2
19001,ftd,151,118,33,8
19001,dtf,81,48,32,4
19006,ftd,130,100,30,15
19006,dtf,57,27,29,4
19010,ftd,140,108,32,16
19010,dtf,66,34,31,3
19017,ftd,118,90,28,15
19017,dtf,58,29,28,5
19020,ftd,235,181,53,3
19020,dtf,136,83,53,2
20002,ftd,48,28,20,9
20002,dtf,72,51,20,9
20003,ftd,72,49,23,9
20003,dtf,56,32,23,6
20007,ftd,73,49,24,11
20007,dtf,58,33,24,9
21003,ftd,107,78,29,12
21003,dtf,76,46,29,1
21006,ftd,126,96,30,13
21006,dtf,81,51,29,1
21008,ftd,140,110,30,13
21008,dtf,83,53,29,0
21009,ftd,105,76,29,16
21009,dtf,72,43,28,1
21011,ftd,121,89,32,6
21011,dtf,103,71,31,1
21012,ftd,192,154,37,4
21012,dtf,123,86,37,1
21013,ftd,100,69,31,14
21013,dtf,79,48,30,4
21015,ftd,100,73,27,13
21015,dtf,59,31,27,4
21016,ftd,101,74,27,13
21016,dtf,53,26,26,4
21017,ftd,238,181,56,3
21017,dtf,146,90,56,3
21018,ftd,113,82,31,11
21018,dtf,78,46,31,4
21022,ftd,88,62,26,10
21022,dtf,83,56,26,4
21023,ftd,139,106,33,12
21023,dtf,79,46,32,1
21024,ftd,162,131,31,6
21024,dtf,105,74,30,0
21026,ftd,234,177,56,6
21026,dtf,147,91,56,5
21027,ftd,102,75,27,16
21027,dtf,43,15,27,5
22001,ftd,120,89,31,10
22001,dtf,70,38,31,1
22006,ftd,77,54,23,8
22006,dtf,50,26,23,9
22007,ftd,133,105,28,14
22007,dtf,51,22,28,3
22009,ftd,117,87,30,10
22009,dtf,73,42,30,0
23001,ftd,150,119,31,7
23001,dtf,92,61,30,1
23004,ftd,193,155,37,4
23004,dtf,100,63,37,3
23006,ftd,219,175,43,3
23006,dtf,124,81,43,1
23007,ftd,59,15,44,2
23007,dtf,251,206,44,0
23008,ftd,144,115,29,11
23008,dtf,80,50,29,2
23011,ftd,241,191,49,2
23011,dtf,149,100,49,0
23016,ftd,106,83,23,2
23016,dtf,119,95,23,6
24001,ftd,130,100,30,13
24001,dtf,70,39,30,1
24003,ftd,159,128,31,10
24003,dtf,102,70,31,2
24004,ftd,103,74,29,14
24004,dtf,74,44,29,2
24005,ftd,61,39,22,7
24005,dtf,59,36,22,10
25001,ftd,144,111,33,9
25001,dtf,113,79,33,2
25003,ftd,244,185,58,3
25003,dtf,153,95,58,2
25006,ftd,212,162,49,1
25006,dtf,180,131,49,2
25012,ftd,243,197,45,3
25012,dtf,135,90,45,3
25020,ftd,49,31,18,2
25020,dtf,92,73,18,7
25021,ftd,30,18,12,2
25021,dtf,107,94,12,5
25029,ftd,105,76,29,11
25029,dtf,64,34,29,2
26003,ftd,13,4,9,8
26003,dtf,31,21,9,2
26005,ftd,0,0,0,0
26005,dtf,1,0,0,0
26006,ftd,20,6,14,8
26006,dtf,45,30,14,7
26008,ftd,22,13,9,7
26008,dtf,36,26,9,5
26009,ftd,20,8,12,9
26009,dtf,35,22,12,2
27001,ftd,107,80,27,13
27001,dtf,69,41,27,0
27002,ftd,141,113,28,7
27002,dtf,99,70,28,1
27003,ftd,115,88,27,12
27003,dtf,80,53,26,4
27006,ftd,81,58,23,12
27006,dtf,55,31,23,5
27007,ftd,149,117,32,9
27007,dtf,101,69,31,1
27009,ftd,85,58,27,13
27009,dtf,83,55,27,2
27021,ftd,105,80,25,12
27021,dtf,65,39,25,4
27023,ftd,115,88,27,13
27023,dtf,78,50,27,1
27025,ftd,123,97,26,12
27025,dtf,61,34,26,3
27026,ftd,106,80,26,14
27026,dtf,60,33,26,3
27029,ftd,109,83,26,10
27029,dtf,68,41,26,2
27030,ftd,101,76,25,4
27030,dtf,80,54,25,4
27032,ftd,60,38,22,17
27032,dtf,44,21,22,3
27034,ftd,179,145,33,6
27034,dtf,115,82,33,2
27035,ftd,156,126,30,11
27035,dtf,86,56,29,0
27038,ftd,233,179,54,2
27038,dtf,181,127,53,0
27041,ftd,53,34,19,9
27041,dtf,57,37,19,10
27042,ftd,123,94,29,11
27042,dtf,82,52,29,2
27043,ftd,181,149,32,5
27043,dtf,124,92,31,0
27047,ftd,239,184,54,2
27047,dtf,158,104,54,3
27049,ftd,79,51,28,13
27049,dtf,61,32,28,4
27051,ftd,153,126,27,9
27051,dtf,80,52,27,1
27062,ftd,96,68,28,12
27062,dtf,78,49,28,0
27064,ftd,62,33,29,8
27064,dtf,126,96,29,0
27065,ftd,107,81,26,15
27065,dtf,59,32,26,0
27071,ftd,92,64,28,14
27071,dtf,80,51,28,4
27073,ftd,70,40,30,11
27073,dtf,72,42,29,3
27077,ftd,81,21,60,1
27077,dtf,303,242,60,0
27079,ftd,142,113,29,10
27079,dtf,89,60,28,2
27080,ftd,121,92,29,12
27080,dtf,97,68,28,3
27084,ftd,189,159,30,9
27084,dtf,90,60,29,1
27087,ftd,29,18,11,5
27087,dtf,48,36,11,7
27089,ftd,107,78,29,7
27089,dtf,94,64,29,0
27090,ftd,177,145,31,10
27090,dtf,78,47,31,0
28001,ftd,100,73,27,18
28001,dtf,39,11,27,1
28003,ftd,196,75,121,0
28003,dtf,378,256,121,0
28008,ftd,137,109,28,13
28008,dtf,57,28,28,2
28009,ftd,91,65,26,13
28009,dtf,50,23,26,8
28012,ftd,114,88,26,9
28012,dtf,56,29,26,6
28015,ftd,20,11,9,4
28015,dtf,109,99,9,1
28018,ftd,123,98,25,12
28018,dtf,54,28,25,1
28022,ftd,82,57,25,12
28022,dtf,51,25,25,8
28023,ftd,99,73,26,16
28023,dtf,50,23,26,4
28024,ftd,98,72,26,10
28024,dtf,52,25,26,9
28026,ftd,99,74,25,7
28026,dtf,63,37,25,6
28031,ftd,195,164,31,6
28031,dtf,82,51,30,0
28033,ftd,215,157,57,2
28033,dtf,152,95,57,0
28039,ftd,235,189,46,1
28039,dtf,160,113,46,3
28040,ftd,85,62,23,2
28040,dtf,78,54,23,4
28043,ftd,80,55,25,18
28043,dtf,48,22,25,2
28044,ftd,23,11,12,12
28044,dtf,37,24,12,4
28046,ftd,110,83,27,18
28046,dtf,56,28,27,1
28048,ftd,110,86,24,11
28048,dtf,69,44,24,3
28050,ftd,90,66,24,7
28050,dtf,80,55,24,8
28052,ftd,86,64,22,6
28052,dtf,71,48,22,9
28055,ftd,120,94,26,14
28055,dtf,51,24,26,2
28056,ftd,100,75,25,3
28056,dtf,57,31,25,5
28060,ftd,9,1,8,1
28060,dtf,23,14,8,0
28066,ftd,203,166,37,1
28066,dtf,128,90,37,3
28067,ftd,97,72,25,15
28067,dtf,50,24,25,1
28072,ftd,83,64,19,4
28072,dtf,43,23,19,7
28074,ftd,89,64,25,10
28074,dtf,42,16,25,8
28080,ftd,163,125,38,11
28080,dtf,103,64,38,1
28081,ftd,172,133,39,0
28081,dtf,156,116,39,3
28082,ftd,105,79,26,7
28082,dtf,47,20,26,8
28085,ftd,73,50,23,13
28085,dtf,47,23,23,2
28091,ftd,93,71,22,6
28091,dtf,66,43,22,6
28093,ftd,97,71,26,13
28093,dtf,48,21,26,3
28115,ftd,183,138,45,13
28115,dtf,95,49,45,0
28116,ftd,73,38,35,4
28116,dtf,88,52,35,1
28117,ftd,87,62,25,14
28117,dtf,45,19,25,3
29002,ftd,42,29,13,9
29002,dtf,36,22,13,6
29003,ftd,25,14,11,10
29003,dtf,36,24,11,6
29005,ftd,128,101,27,7
29005,dtf,61,33,27,4
29009,ftd,44,29,15,9
29009,dtf,43,27,15,8
30001,ftd,81,61,20,4
30001,dtf,41,20,20,7
30004,ftd,136,110,26,5
30004,dtf,57,30,26,10
30005,ftd,35,22,13,8
30005,dtf,35,21,13,4
30011,ftd,8,2,6,1
30011,dtf,50,43,6,0
30012,ftd,100,75,25,10
30012,dtf,42,16,25,6
30014,ftd,122,98,24,5
30014,dtf,57,32,24,7
30015,ftd,22,10,12,8
30015,dtf,35,22,12,5
31002,ftd,18,12,6,2
31002,dtf,37,30,6,5
31006,ftd,9,5,4,4
31006,dtf,37,32,4,4
31010,ftd,93,70,23,7
31010,dtf,42,18,23,6
31021,ftd,93,69,24,9
31021,dtf,46,21,24,9
31023,ftd,140,115,25,3
31023,dtf,63,37,25,9
31025,ftd,149,121,28,8
31025,dtf,59,30,28,4
32003,ftd,110,86,24,9
32003,dtf,72,47,24,8
32004,ftd,75,53,22,5
32004,dtf,48,25,22,8
32006,ftd,76,55,21,6
32006,dtf,41,19,21,5
32008,ftd,75,52,23,15
32008,dtf,31,7,23,5
33006,ftd,44,28,16,11
33006,dtf,31,14,16,6
33007,ftd,40,26,14,10
33007,dtf,34,19,14,5
33012,ftd,110,85,25,9
33012,dtf,46,20,25,7
33013,ftd,68,48,20,8
33013,dtf,41,20,20,6
33014,ftd,62,43,19,10
33014,dtf,41,21,19,5
33018,ftd,86,62,24,6
33018,dtf,54,29,24,8
33019,ftd,45,29,16,9
33019,dtf,37,20,16,5
33020,ftd,130,0,0,0
33020,dtf,0,0,0,0
33021,ftd,35,23,12,5
33021,dtf,39,26,12,4
33022,ftd,105,81,24,7
33022,dtf,42,17,24,7
33023,ftd,6,5,1,1
33023,dtf,6,4,1,0
33024,ftd,60,41,19,9
33024,dtf,36,16,19,8
33026,ftd,55,38,17,6
33026,dtf,50,32,17,6
33028,ftd,123,89,34,20
33028,dtf,76,41,34,1
33029,ftd,31,16,15,8
33029,dtf,36,20,15,6
33031,ftd,130,104,26,8
33031,dtf,37,10,26,9
33032,ftd,1,0,1,1
33032,dtf,4,2,1,1
33033,ftd,87,65,22,8
33033,dtf,54,31,22,3
33034,ftd,42,27,15,8
33034,dtf,34,18,15,6
33035,ftd,56,38,18,7
33035,dtf,49,30,18,8
33039,ftd,64,41,23,9
33039,dtf,36,12,23,10
33053,ftd,8,3,5,5
33053,dtf,40,34,5,4
33054,ftd,13,5,8,8
33054,dtf,31,22,8,3
33058,ftd,89,64,25,10
33058,dtf,34,8,25,5
34002,ftd,83,59,24,9
34002,dtf,65,40,24,11
34003,ftd,56,25,31,6
34003,dtf,218,186,31,0
34004,ftd,46,30,16,8
34004,dtf,46,29,16,6
34005,ftd,80,59,21,3
34005,dtf,72,50,21,6
34006,ftd,50,32,18,7
34006,dtf,62,43,18,9
34007,ftd,87,65,22,13
34007,dtf,38,15,22,4
34008,ftd,38,6,32,3
34008,dtf,238,205,32,1
34010,ftd,57,37,20,10
34010,dtf,47,26,20,9
34011,ftd,19,14,5,5
34011,dtf,32,26,5,4
34012,ftd,1,0,1,1
34012,dtf,4,2,1,0
35003,ftd,139,109,30,15
35003,dtf,55,24,30,5
35008,ftd,87,63,24,14
35008,dtf,45,20,24,6
36003,ftd,34,19,15,7
36003,dtf,40,24,15,8
36006,ftd,80,58,22,12
36006,dtf,39,16,22,4
36009,ftd,125,96,29,15
36009,dtf,51,21,29,8
36010,ftd,164,135,29,14
36010,dtf,40,10,29,4
36011,ftd,117,89,28,12
36011,dtf,58,29,28,3
36012,ftd,177,144,33,8
36012,dtf,99,65,33,0
37001,ftd,74,51,23,12
37001,dtf,44,20,23,5
37003,ftd,52,33,19,12
37003,dtf,33,13,19,6
37005,ftd,69,48,21,9
37005,dtf,51,29,21,5
37008,ftd,68,45,23,13
37008,dtf,55,31,23,5
37009,ftd,86,50,36,18
37009,dtf,107,70,36,0
37010,ftd,93,50,43,8
37010,dtf,125,81,43,0
37011,ftd,74,52,22,12
37011,dtf,41,18,22,6
37018,ftd,117,90,27,11
37018,dtf,62,34,27,4
37019,ftd,184,149,35,2
37019,dtf,112,76,35,1
37020,ftd,77,55,22,12
37020,dtf,42,19,22,4
37031,ftd,106,81,25,5
37031,dtf,91,65,25,6
37033,ftd,233,180,53,1
37033,dtf,188,134,53,1
38001,ftd,96,73,23,8
38001,dtf,38,14,23,9
38003,ftd,0,0,0,0
38003,dtf,19,0,0,0
38004,ftd,60,44,16,5
38004,dtf,39,22,16,7
