gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,156,123,33,18
1001,dtf,67,33,33,2
2001,ftd,170,134,36,12
2001,dtf,95,58,36,1
2002,ftd,166,127,39,6
2002,dtf,120,80,39,1
3003,ftd,240,180,60,4
3003,dtf,132,71,60,1
4001,ftd,96,68,28,23
4001,dtf,78,49,28,3
4003,ftd,158,128,30,22
4003,dtf,74,43,30,0
4005,ftd,191,150,41,19
4005,dtf,107,65,41,1
4006,ftd,175,133,41,9
4006,dtf,135,93,42,2
5003,ftd,73,47,26,22
5003,dtf,125,98,26,2
6007,ftd,88,61,27,14
6007,dtf,113,85,27,6
6008,ftd,164,133,31,16
6008,dtf,84,53,30,3
7001,ftd,210,171,39,5
7001,dtf,104,65,38,2
7002,ftd,191,144,47,6
7002,dtf,112,65,46,3
7003,ftd,176,143,33,4
7003,dtf,103,69,33,2
7005,ftd,191,145,46,9
7005,dtf,88,42,45,1
7006,ftd,229,158,70,3
7006,dtf,133,63,70,0
8004,ftd,181,133,48,5
8004,dtf,111,63,47,2
8005,ftd,84,56,28,20
8005,dtf,110,81,28,7
8006,ftd,131,92,39,8
8006,dtf,122,82,39,5
8009,ftd,174,139,35,9
8009,dtf,101,66,34,1
8011,ftd,198,156,42,5
8011,dtf,121,78,42,0
8013,ftd,155,115,40,10
8013,dtf,121,80,40,1
9002,ftd,168,130,38,9
9002,dtf,112,73,38,1
9003,ftd,161,137,24,12
9003,dtf,55,30,24,3
9004,ftd,133,103,30,10
9004,dtf,76,45,30,1
9005,ftd,217,171,46,10
9005,dtf,119,73,45,0
10002,ftd,182,148,34,5
10002,dtf,128,94,33,1
10003,ftd,140,111,29,13
10003,dtf,68,39,28,5
11001,ftd,131,101,30,14
11001,dtf,67,36,30,1
11003,ftd,129,100,29,11
11003,dtf,86,57,28,1
11004,ftd,122,94,28,14
11004,dtf,55,26,28,7
12001,ftd,124,87,37,13
12001,dtf,103,66,36,2
12002,ftd,126,95,31,16
12002,dtf,94,63,30,0
12005,ftd,146,104,42,11
12005,dtf,119,77,41,4
12006,ftd,151,107,44,15
12006,dtf,115,71,43,1
12007,ftd,166,123,43,9
12007,dtf,118,75,42,4
12008,ftd,166,130,36,12
12008,dtf,82,46,35,2
12009,ftd,217,172,45,3
12009,dtf,132,87,44,0
13001,ftd,156,123,33,15
13001,dtf,87,54,32,0
13004,ftd,145,112,33,14
13004,dtf,98,65,32,2
13005,ftd,138,107,31,18
13005,dtf,67,36,30,4
13007,ftd,177,144,33,13
13007,dtf,102,69,32,0
13008,ftd,140,108,32,19
13008,dtf,89,57,31,2
14001,ftd,142,112,30,18
14001,dtf,85,54,30,3
14002,ftd,118,88,30,23
14002,dtf,58,27,30,4
14005,ftd,102,76,26,20
14005,dtf,54,27,26,4
15006,ftd,100,72,28,11
15006,dtf,104,76,27,6
15007,ftd,93,66,27,10
15007,dtf,135,107,27,6
15010,ftd,140,106,34,11
15010,dtf,100,65,34,2
15011,ftd,171,112,59,9
15011,dtf,166,106,59,0
15012,ftd,90,59,31,11
15012,dtf,121,90,30,5
15013,ftd,157,123,34,13
15013,dtf,66,32,33,2
15014,ftd,191,148,43,4
15014,dtf,130,87,42,1
15016,ftd,106,75,31,8
15016,dtf,141,109,31,5
15021,ftd,80,52,28,21
15021,dtf,60,31,28,6
15023,ftd,154,119,35,12
15023,dtf,72,37,34,2
15024,ftd,212,172,40,6
15024,dtf,130,89,40,0
15025,ftd,157,114,43,9
15025,dtf,117,74,42,2
15030,ftd,121,90,31,19
