gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,113,82,31,18
1001,dtf,59,28,30,5
2001,ftd,130,96,33,13
2001,dtf,85,52,33,2
2002,ftd,132,89,42,10
2002,dtf,131,89,42,2
3003,ftd,176,112,63,2
3003,dtf,159,96,63,5
4001,ftd,64,37,27,16
4001,dtf,93,66,26,10
4003,ftd,102,59,43,21
4003,dtf,101,58,42,0
4005,ftd,160,100,59,6
4005,dtf,166,107,59,0
4006,ftd,151,103,47,9
4006,dtf,142,95,47,3
5003,ftd,54,32,22,12
5003,dtf,125,102,22,7
6007,ftd,71,44,27,8
6007,dtf,132,105,26,8
6008,ftd,133,98,35,9
6008,dtf,91,56,34,2
7001,ftd,167,119,48,12
7001,dtf,137,89,47,1
7002,ftd,129,84,45,11
7002,dtf,131,86,44,1
7003,ftd,77,44,33,4
7003,dtf,164,130,33,3
7005,ftd,113,65,48,10
7005,dtf,116,67,48,1
7006,ftd,100,39,61,1
7006,dtf,231,170,60,0
8004,ftd,122,78,44,7
8004,dtf,162,118,43,1
8005,ftd,54,28,26,13
8005,dtf,113,86,26,6
8006,ftd,61,29,32,10
8006,dtf,163,130,32,6
8009,ftd,124,82,42,12
8009,dtf,139,97,41,3
8011,ftd,112,63,49,3
8011,dtf,166,116,49,1
8013,ftd,130,90,40,9
8013,dtf,145,105,39,3
9002,ftd,100,65,35,6
9002,dtf,135,100,34,4
9003,ftd,103,74,29,15
9003,dtf,72,43,28,1
9004,ftd,72,48,24,11
9004,dtf,97,72,24,5
9005,ftd,147,89,58,7
9005,dtf,184,126,57,1
10002,ftd,113,81,32,8
10002,dtf,101,69,31,7
10003,ftd,91,62,29,11
10003,dtf,73,44,28,6
11001,ftd,92,63,29,11
11001,dtf,102,73,28,3
11003,ftd,85,54,31,13
11003,dtf,113,82,30,4
11004,ftd,85,61,24,11
11004,dtf,73,48,24,4
12001,ftd,104,68,36,13
12001,dtf,121,85,35,4
12002,ftd,110,78,32,14
12002,dtf,111,79,31,3
12005,ftd,144,103,41,8
12005,dtf,132,91,40,0
12006,ftd,120,79,41,10
12006,dtf,117,76,40,1
12007,ftd,145,101,44,11
12007,dtf,143,99,43,0
12008,ftd,140,103,37,9
12008,dtf,85,48,36,0
12009,ftd,182,137,45,4
12009,dtf,144,99,44,0
13001,ftd,132,97,35,9
13001,dtf,85,50,34,4
13004,ftd,127,95,32,8
13004,dtf,105,73,31,1
13005,ftd,111,79,32,15
13005,dtf,66,34,31,4
13007,ftd,139,103,36,9
13007,dtf,112,76,35,1
13008,ftd,112,79,33,11
13008,dtf,108,75,32,1
14001,ftd,102,74,28,11
14001,dtf,78,49,28,3
14002,ftd,85,57,28,18
14002,dtf,54,25,28,3
14005,ftd,65,44,21,14
14005,dtf,70,48,21,6
15006,ftd,90,59,31,11
15006,dtf,107,76,30,1
15007,ftd,67,40,27,10
15007,dtf,134,107,26,5
15010,ftd,103,71,32,14
15010,dtf,99,67,31,2
15011,ftd,172,112,60,9
15011,dtf,168,108,59,0
15012,ftd,74,45,29,14
15012,dtf,122,93,28,5
15013,ftd,156,121,35,9
15013,dtf,71,36,34,0
15014,ftd,198,151,47,6
15014,dtf,138,91,46,1
15016,ftd,93,58,35,12
15016,dtf,144,109,34,1
15021,ftd,54,29,25,20
15021,dtf,51,26,24,5
15023,ftd,143,109,34,9
15023,dtf,63,29,33,0
15024,ftd,184,140,44,6
15024,dtf,130,86,43,0
15025,ftd,154,117,37,9
15025,dtf,133,96,36,0
15030,ftd,95,64,31,16
15030,dtf,64,33,30,5
15039,ftd,196,148,48,6
15039,dtf,139,91,47,0
16001,ftd,126,94,32,12
16001,dtf,91,59,31,1
16003,ftd,239,184,55,0
16003,dtf,122,67,54,0
16004,ftd,122,87,35,10
16004,dtf,101,66,34,0
17001,ftd,180,140,40,9
17001,dtf,97,57,39,1
17003,ftd,172,134,38,2
17003,dtf,142,104,37,4
17004,ftd,86,61,25,5
17004,dtf,92,66,25,4
17005,ftd,165,128,37,7
17005,dtf,126,89,36,2
17015,ftd,174,133,41,3
17015,dtf,120,79,40,2
17018,ftd,97,70,27,9
17018,dtf,73,45,27,2
18001,ftd,167,127,40,5
18001,dtf,110,70,39,1
18002,ftd,144,104,40,15
18002,dtf,87,47,39,0
18003,ftd,147,110,37,10
18003,dtf,99,62,36,1
18008,ftd,157,106,50,4
18008,dtf,167,117,50,1
18010,ftd,119,76,43,5
18010,dtf,146,103,42,1
18011,ftd,132,100,32,17
18011,dtf,94,62,31,0
18014,ftd,169,135,34,7
18014,dtf,99,65,33,2
18017,ftd,222,166,55,3
18017,dtf,115,60,55,8
18018,ftd,165,111,54,2
18018,dtf,182,128,53,2
19001,ftd,134,102,32,7
19001,dtf,98,66,31,3
19006,ftd,114,86,28,16
19006,dtf,64,36,27,1
19010,ftd,128,91,37,11
19010,dtf,94,56,37,1
19017,ftd,92,66,26,17
19017,dtf,64,38,25,1
19020,ftd,211,146,65,4
19020,dtf,162,97,64,2
20002,ftd,59,44,15,4
20002,dtf,76,60,15,7
20003,ftd,75,55,20,12
20003,dtf,67,47,19,3
20007,ftd,81,54,27,17
20007,dtf,62,34,27,4
21003,ftd,76,51,25,5
21003,dtf,95,69,25,3
21006,ftd,108,80,28,6
21006,dtf,94,65,28,3
21008,ftd,126,95,31,11
21008,dtf,93,62,30,3
21009,ftd,83,53,30,15
21009,dtf,96,65,30,5
21011,ftd,99,68,31,2
21011,dtf,120,88,31,4
21012,ftd,171,131,39,2
21012,dtf,136,97,39,0
21013,ftd,101,67,34,9
21013,dtf,95,61,33,6
21015,ftd,95,65,30,13
21015,dtf,70,39,30,2
21016,ftd,119,88,31,13
21016,dtf,73,42,30,0
21017,ftd,231,171,59,1
21017,dtf,168,109,59,0
21018,ftd,81,54,27,10
21018,dtf,78,50,27,5
21022,ftd,103,71,32,10
21022,dtf,95,62,32,1
21023,ftd,137,105,32,5
21023,dtf,98,66,31,0
21024,ftd,147,114,33,9
21024,dtf,119,85,33,1
21026,ftd,224,159,64,2
21026,dtf,136,72,64,3
21027,ftd,115,85,30,12
21027,dtf,62,32,29,2
22001,ftd,99,69,30,16
22001,dtf,75,45,29,4
22006,ftd,87,63,24,12
22006,dtf,51,27,23,5
22007,ftd,124,94,30,19
22007,dtf,51,21,29,2
22009,ftd,110,79,31,14
22009,dtf,85,54,30,2
23001,ftd,135,105,30,4
23001,dtf,117,86,30,0
23004,ftd,165,121,44,9
23004,dtf,112,68,43,2
23006,ftd,198,146,51,6
23006,dtf,120,69,51,0
23007,ftd,85,20,65,2
23007,dtf,288,222,65,0
23008,ftd,127,96,31,8
23008,dtf,93,62,30,3
23011,ftd,228,168,59,1
23011,dtf,155,96,59,2
23016,ftd,142,111,31,7
23016,dtf,122,91,30,2
24001,ftd,134,102,32,16
24001,dtf,86,54,31,1
24003,ftd,125,90,35,11
24003,dtf,141,106,34,1
24004,ftd,121,90,31,16
24004,dtf,96,65,30,1
24005,ftd,98,73,25,10
24005,dtf,72,47,24,7
25001,ftd,121,87,34,10
25001,dtf,129,95,33,4
25003,ftd,220,156,63,5
25003,dtf,138,75,63,0
25006,ftd,213,154,59,2
25006,dtf,164,105,58,2
25012,ftd,217,158,58,1
25012,dtf,161,103,58,0
25020,ftd,88,65,23,8
25020,dtf,109,86,22,3
25021,ftd,77,59,18,5
25021,dtf,102,84,17,4
25029,ftd,139,107,32,13
25029,dtf,63,31,31,2
26003,ftd,20,7,13,12
26003,dtf,35,22,12,3
26005,ftd,0,0,0,0
26005,dtf,8,0,0,0
26006,ftd,26,10,16,13
26006,dtf,48,32,15,5
26008,ftd,27,15,12,10
26008,dtf,38,26,11,3
26009,ftd,25,9,16,13
26009,dtf,40,24,15,5
27001,ftd,125,97,28,9
27001,dtf,102,74,27,2
27002,ftd,135,102,33,5
27002,dtf,129,96,32,1
27003,ftd,117,86,31,6
27003,dtf,102,71,30,0
27006,ftd,76,52,24,5
27006,dtf,72,47,24,5
27007,ftd,147,110,37,10
27007,dtf,119,82,36,1
27009,ftd,94,66,28,9
27009,dtf,103,75,27,3
27021,ftd,124,94,30,9
27021,dtf,89,59,29,2
27023,ftd,135,105,30,8
27023,dtf,110,80,29,2
27025,ftd,139,106,33,7
27025,dtf,77,44,32,3
27026,ftd,116,86,30,10
27026,dtf,82,52,29,4
27029,ftd,109,81,28,8
27029,dtf,105,76,28,2
27030,ftd,127,94,33,8
27030,dtf,98,64,33,2
27032,ftd,39,6,33,11
27032,dtf,125,91,33,0
27034,ftd,172,132,40,9
27034,dtf,129,89,39,2
27035,ftd,140,106,34,8
27035,dtf,109,75,33,3
27038,ftd,247,177,70,3
27038,dtf,182,112,69,1
27041,ftd,69,48,21,7
27041,dtf,75,54,20,3
27042,ftd,140,107,33,10
27042,dtf,87,54,32,1
27043,ftd,159,121,38,5
27043,dtf,140,102,37,0
27047,ftd,233,169,63,2
27047,dtf,160,97,63,7
27049,ftd,100,72,28,10
27049,dtf,71,43,27,1
27051,ftd,163,131,32,8
27051,dtf,113,81,31,2
27062,ftd,118,90,28,8
27062,dtf,108,80,27,1
27064,ftd,97,58,39,12
27064,dtf,131,92,38,0
27065,ftd,108,81,27,11
27065,dtf,93,65,27,0
27071,ftd,100,69,31,14
27071,dtf,96,65,30,4
27073,ftd,86,51,35,8
27073,dtf,97,62,34,2
27077,ftd,90,23,67,0
27077,dtf,342,274,67,0
27079,ftd,132,100,32,5
27079,dtf,112,79,32,0
27080,ftd,124,87,37,9
27080,dtf,103,66,36,2
27084,ftd,185,146,39,9
27084,dtf,101,62,38,3
27087,ftd,52,35,17,10
27087,dtf,63,46,16,5
27089,ftd,111,81,30,5
27089,dtf,133,103,29,2
27090,ftd,170,134,36,13
