gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,119,88,31,23
1001,dtf,65,34,30,0
2001,ftd,156,123,33,20
2001,dtf,73,40,32,2
2002,ftd,164,131,33,10
2002,dtf,101,68,32,3
3003,ftd,233,187,45,2
3003,dtf,110,65,45,3
4001,ftd,90,60,30,23
4001,dtf,63,33,29,10
4003,ftd,143,112,31,21
4003,dtf,69,37,31,2
4005,ftd,194,157,37,10
4005,dtf,84,47,36,4
4006,ftd,174,137,37,6
4006,dtf,107,70,36,6
5003,ftd,86,59,27,23
5003,dtf,80,52,27,13
6007,ftd,103,73,30,15
6007,dtf,99,68,30,7
6008,ftd,167,135,32,13
6008,dtf,81,49,31,4
7001,ftd,203,155,48,15
7001,dtf,93,45,47,3
7002,ftd,169,117,52,10
7002,dtf,104,52,51,3
7003,ftd,102,69,33,7
7003,dtf,128,94,33,5
7005,ftd,140,101,39,14
7005,dtf,94,54,39,2
7006,ftd,133,72,61,6
7006,dtf,169,107,61,3
8004,ftd,146,97,49,9
8004,dtf,118,68,49,2
8005,ftd,89,60,29,19
8005,dtf,94,64,29,5
8006,ftd,93,58,35,8
8006,dtf,136,100,35,5
8009,ftd,156,114,42,14
8009,dtf,115,72,42,4
8011,ftd,138,88,50,10
8011,dtf,118,67,50,2
8013,ftd,153,110,43,11
8013,dtf,118,74,43,6
9002,ftd,112,74,38,10
9002,dtf,109,70,38,6
9003,ftd,107,78,29,15
9003,dtf,62,32,29,3
9004,ftd,67,42,25,13
9004,dtf,78,52,25,9
9005,ftd,175,119,56,10
9005,dtf,131,74,56,0
10002,ftd,104,73,31,11
10002,dtf,103,71,31,3
10003,ftd,71,46,25,15
10003,dtf,61,35,25,6
11001,ftd,72,46,26,14
11001,dtf,78,51,26,6
11003,ftd,82,51,31,12
11003,dtf,93,61,31,8
11004,ftd,58,36,22,13
11004,dtf,63,40,22,7
12001,ftd,119,80,39,13
12001,dtf,110,70,39,4
12002,ftd,114,82,32,15
12002,dtf,94,61,32,5
12005,ftd,149,105,44,13
12005,dtf,109,64,44,1
12006,ftd,138,92,46,11
12006,dtf,111,64,46,2
12007,ftd,168,125,43,8
12007,dtf,113,69,43,4
12008,ftd,163,129,34,9
12008,dtf,61,26,34,3
12009,ftd,224,184,40,3
12009,dtf,103,62,40,0
13001,ftd,132,102,30,13
13001,dtf,65,34,30,2
13004,ftd,134,105,29,16
13004,dtf,88,58,29,0
13005,ftd,123,95,28,18
13005,dtf,64,35,28,3
13007,ftd,160,128,32,11
13007,dtf,78,45,32,0
13008,ftd,141,111,30,16
13008,dtf,84,53,30,0
14001,ftd,100,73,27,13
14001,dtf,66,38,27,7
14002,ftd,94,66,28,19
14002,dtf,59,30,28,4
14005,ftd,65,40,25,19
14005,dtf,54,28,25,7
15006,ftd,101,72,29,12
15006,dtf,86,56,29,7
15007,ftd,102,71,31,14
15007,dtf,102,70,31,4
15010,ftd,114,83,31,12
15010,dtf,99,67,31,3
15011,ftd,168,123,45,19
15011,dtf,127,81,45,0
15012,ftd,87,57,30,13
15012,dtf,89,58,30,8
15013,ftd,172,142,30,14
15013,dtf,62,31,30,0
15014,ftd,185,146,39,8
15014,dtf,119,79,39,4
15016,ftd,114,80,34,9
15016,dtf,107,72,34,7
15021,ftd,50,26,24,20
15021,dtf,49,24,24,6
15023,ftd,156,127,29,14
15023,dtf,50,20,29,0
15024,ftd,209,176,33,5
15024,dtf,106,72,33,3
15025,ftd,157,124,32,10
15025,dtf,104,71,33,2
15030,ftd,108,79,29,20
15030,dtf,69,39,29,3
15039,ftd,196,149,47,5
15039,dtf,116,68,47,3
16001,ftd,137,108,29,13
16001,dtf,81,51,29,2
16003,ftd,257,217,40,4
16003,dtf,101,60,40,1
16004,ftd,130,102,28,12
16004,dtf,91,62,28,1
17001,ftd,201,168,33,15
17001,dtf,93,59,33,0
17003,ftd,191,156,35,7
17003,dtf,124,88,35,1
17004,ftd,105,76,29,8
17004,dtf,89,59,29,7
17005,ftd,192,157,35,9
17005,dtf,99,63,35,0
17015,ftd,184,147,37,7
17015,dtf,104,66,37,2
17018,ftd,116,89,27,10
17018,dtf,76,48,27,6
18001,ftd,175,145,30,9
18001,dtf,92,61,30,1
18002,ftd,150,122,28,19
18002,dtf,73,44,28,0
18003,ftd,147,116,31,11
18003,dtf,85,53,31,2
18008,ftd,176,135,41,3
18008,dtf,129,87,41,0
18010,ftd,144,109,35,14
18010,dtf,91,55,35,0
18011,ftd,147,117,30,17
18011,dtf,78,47,30,2
18014,ftd,177,148,29,11
18014,dtf,98,68,29,1
18017,ftd,244,182,62,6
18017,dtf,121,58,62,7
18018,ftd,174,134,40,2
18018,dtf,126,85,40,4
19001,ftd,151,122,29,9
19001,dtf,89,59,29,2
19006,ftd,132,103,29,17
19006,dtf,55,25,29,5
19010,ftd,141,105,36,16
19010,dtf,77,40,36,2
19017,ftd,130,102,28,16
19017,dtf,75,46,28,5
19020,ftd,243,183,60,2
19020,dtf,137,76,60,0
20002,ftd,62,40,22,7
20002,dtf,67,44,22,14
20003,ftd,93,67,26,11
20003,dtf,67,40,26,7
20007,ftd,86,59,27,14
20007,dtf,55,27,27,7
21003,ftd,114,87,27,12
21003,dtf,83,55,27,1
21006,ftd,129,101,28,10
21006,dtf,96,67,28,2
21008,ftd,136,107,29,10
21008,dtf,98,68,29,1
21009,ftd,106,77,29,15
21009,dtf,97,67,29,1
21011,ftd,125,95,30,6
21011,dtf,112,81,30,2
21012,ftd,187,157,30,4
21012,dtf,111,80,30,1
21013,ftd,101,70,31,15
21013,dtf,87,55,31,2
21015,ftd,99,71,28,16
21015,dtf,61,32,28,4
21016,ftd,114,85,29,17
21016,dtf,52,22,29,6
21017,ftd,240,180,60,4
21017,dtf,149,88,60,3
21018,ftd,123,96,27,11
21018,dtf,90,62,27,2
21022,ftd,90,60,30,15
21022,dtf,87,56,30,7
21023,ftd,137,104,33,15
21023,dtf,91,57,33,0
21024,ftd,159,131,28,5
21024,dtf,114,85,28,0
21026,ftd,224,168,56,5
21026,dtf,150,93,56,6
21027,ftd,108,80,28,16
21027,dtf,52,23,28,5
22001,ftd,112,83,29,11
22001,dtf,75,45,29,4
22006,ftd,98,71,27,9
22006,dtf,53,25,27,11
22007,ftd,131,103,28,14
22007,dtf,47,18,28,4
22009,ftd,110,80,30,13
22009,dtf,77,46,30,2
23001,ftd,147,116,31,8
23001,dtf,102,70,31,2
23004,ftd,179,144,34,8
23004,dtf,98,63,35,2
23006,ftd,210,167,42,5
23006,dtf,118,75,43,1
23007,ftd,68,41,27,4
23007,dtf,187,159,27,0
23008,ftd,137,109,28,12
23008,dtf,78,49,28,2
23011,ftd,227,177,50,2
23011,dtf,140,89,50,1
23016,ftd,118,90,28,5
23016,dtf,111,82,28,8
24001,ftd,133,103,30,15
24001,dtf,73,42,30,2
24003,ftd,173,139,34,8
24003,dtf,113,78,34,2
24004,ftd,112,82,30,17
24004,dtf,77,46,30,3
24005,ftd,71,47,24,9
24005,dtf,62,37,24,10
25001,ftd,150,117,33,8
25001,dtf,128,94,33,2
25003,ftd,235,176,59,4
25003,dtf,151,92,58,2
25006,ftd,212,160,52,3
25006,dtf,172,119,52,2
25012,ftd,233,184,48,3
25012,dtf,138,89,49,2
25020,ftd,57,37,20,5
25020,dtf,94,73,20,9
25021,ftd,35,23,12,1
25021,dtf,92,79,12,5
25029,ftd,116,86,30,14
25029,dtf,67,36,30,4
26003,ftd,14,5,9,9
26003,dtf,31,21,9,4
26005,ftd,0,0,0,0
26005,dtf,5,0,0,0
26006,ftd,22,6,16,11
26006,dtf,43,26,16,7
26008,ftd,21,11,10,9
26008,dtf,34,23,10,9
26009,ftd,19,5,14,12
26009,dtf,36,21,14,4
27001,ftd,126,96,30,12
27001,dtf,84,53,30,3
27002,ftd,156,125,31,7
27002,dtf,112,80,31,1
27003,ftd,128,100,28,10
27003,dtf,86,57,28,3
27006,ftd,100,74,26,12
27006,dtf,53,26,26,6
27007,ftd,158,125,33,10
27007,dtf,101,67,33,1
27009,ftd,101,72,29,13
27009,dtf,87,57,29,3
27021,ftd,131,101,30,13
27021,dtf,74,43,30,3
27023,ftd,144,114,30,11
27023,dtf,92,61,30,2
27025,ftd,151,121,30,11
27025,dtf,68,37,30,2
27026,ftd,126,96,30,12
27026,dtf,63,32,30,1
27029,ftd,126,98,28,6
27029,dtf,72,43,28,1
27030,ftd,135,103,32,10
27030,dtf,82,49,32,3
27032,ftd,71,55,16,14
27032,dtf,31,14,16,1
27034,ftd,170,136,34,9
27034,dtf,116,81,34,2
27035,ftd,161,130,31,11
27035,dtf,82,50,31,0
27038,ftd,255,195,60,4
27038,dtf,174,113,60,1
27041,ftd,70,46,24,13
27041,dtf,65,40,24,7
27042,ftd,133,103,30,14
27042,dtf,81,50,30,4
27043,ftd,182,149,33,5
27043,dtf,120,86,33,0
27047,ftd,239,183,56,3
27047,dtf,153,96,56,3
27049,ftd,96,67,29,13
27049,dtf,73,43,29,5
27051,ftd,178,148,30,6
27051,dtf,92,61,30,2
27062,ftd,128,99,29,12
27062,dtf,83,53,29,1
27064,ftd,92,66,26,16
27064,dtf,89,62,26,1
27065,ftd,132,102,30,13
27065,dtf,69,38,30,1
27071,ftd,108,78,30,14
27071,dtf,91,60,30,3
27073,ftd,71,43,28,14
27073,dtf,66,37,28,2
27077,ftd,118,77,41,5
27077,dtf,198,156,41,0
27079,ftd,160,132,28,7
27079,dtf,91,62,28,2
27080,ftd,134,105,29,15
27080,dtf,95,65,29,2
27084,ftd,196,167,29,8
27084,dtf,79,49,29,3
27087,ftd,29,15,14,10
27087,dtf,54,39,14,9
27089,ftd,135,105,30,8
27089,dtf,111,80,30,0
27090,ftd,177,146,31,10
27090,dtf,81,49,31,1
28001,ftd,117,89,28,17
28001,dtf,37,8,28,0
28003,ftd,231,151,80,4
28003,dtf,232,151,80,1
28008,ftd,153,125,28,9
28008,dtf,63,34,28,4
28009,ftd,104,78,26,12
28009,dtf,53,26,26,5
28012,ftd,120,92,28,8
28012,dtf,62,33,28,8
28015,ftd,31,25,6,5
28015,dtf,77,71,5,0
28018,ftd,137,110,27,9
28018,dtf,62,34,27,1
28022,ftd,95,69,26,12
28022,dtf,53,26,26,5
28023,ftd,107,79,28,17
28023,dtf,59,30,28,3
28024,ftd,118,90,28,9
28024,dtf,54,25,28,10
28026,ftd,117,89,28,7
28026,dtf,64,35,28,7
28031,ftd,199,169,30,7
28031,dtf,75,44,30,1
28033,ftd,227,164,63,3
28033,dtf,151,87,63,0
28039,ftd,265,216,49,0
28039,dtf,148,98,49,3
28040,ftd,108,86,22,4
28040,dtf,79,56,22,9
28043,ftd,110,80,30,17
28043,dtf,57,26,30,0
28044,ftd,42,28,14,14
28044,dtf,31,16,14,10
28046,ftd,130,103,27,15
28046,dtf,56,28,27,2
28048,ftd,123,95,28,10
28048,dtf,71,42,28,5
28050,ftd,109,82,27,9
28050,dtf,73,45,27,8
28052,ftd,105,79,26,4
28052,dtf,84,57,26,11
28055,ftd,129,99,30,12
28055,dtf,62,31,30,4
28056,ftd,128,100,28,4
28056,dtf,58,29,28,9
28060,ftd,14,9,5,2
28060,dtf,18,12,5,1
28066,ftd,222,183,39,1
28066,dtf,134,94,39,3
28067,ftd,119,91,28,12
28067,dtf,57,28,28,1
28072,ftd,98,75,23,6
28072,dtf,48,24,23,10
28074,ftd,108,80,28,11
28074,dtf,48,19,28,8
28080,ftd,185,143,42,10
28080,dtf,95,52,42,2
28081,ftd,215,170,45,0
28081,dtf,146,100,45,1
28082,ftd,124,97,27,6
28082,dtf,52,24,27,8
28085,ftd,91,66,25,13
28085,dtf,52,26,25,5
28091,ftd,111,85,26,9
28091,dtf,64,37,26,8
28093,ftd,114,86,28,13
28093,dtf,47,18,28,6
28115,ftd,209,167,42,11
28115,dtf,79,36,42,0
28116,ftd,101,87,14,6
28116,dtf,35,21,13,0
28117,ftd,105,78,27,15
28117,dtf,51,23,27,1
29002,ftd,50,36,14,10
29002,dtf,32,17,14,7
29003,ftd,35,23,12,12
29003,dtf,41,28,12,8
29005,ftd,159,131,28,6
29005,dtf,61,32,28,2
29009,ftd,51,32,19,9
29009,dtf,45,25,19,10
30001,ftd,99,72,27,7
30001,dtf,47,19,27,8
30004,ftd,171,143,28,2
30004,dtf,54,25,28,6
30005,ftd,41,22,19,13
30005,dtf,38,18,19,12
30011,ftd,12,7,5,3
30011,dtf,73,67,5,1
