gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,139,110,29,14
1001,dtf,70,41,28,2
2001,ftd,176,145,31,15
2001,dtf,88,57,30,1
2002,ftd,179,141,38,5
2002,dtf,113,75,37,1
3003,ftd,246,198,48,2
3003,dtf,135,87,47,0
4001,ftd,119,92,27,12
4001,dtf,70,43,26,4
4003,ftd,175,138,37,20
4003,dtf,80,43,36,0
4005,ftd,240,183,57,5
4005,dtf,135,78,56,0
4006,ftd,200,156,44,4
4006,dtf,135,91,43,1
5003,ftd,90,62,28,19
5003,dtf,116,87,28,7
6007,ftd,114,85,29,15
6007,dtf,101,71,29,8
6008,ftd,201,162,38,10
6008,dtf,79,41,38,2
7001,ftd,228,163,64,7
7001,dtf,148,83,65,0
7002,ftd,201,134,66,2
7002,dtf,136,69,67,0
7003,ftd,99,65,34,10
7003,dtf,127,93,33,4
7005,ftd,156,109,47,11
7005,dtf,103,56,46,2
7006,ftd,120,63,57,5
7006,dtf,181,124,56,2
8004,ftd,167,104,63,6
8004,dtf,145,82,62,2
8005,ftd,108,72,36,11
8005,dtf,106,69,36,6
8006,ftd,136,85,51,9
8006,dtf,139,87,51,3
8009,ftd,188,128,59,13
8009,dtf,124,64,60,3
8011,ftd,170,116,54,7
8011,dtf,140,85,54,1
8013,ftd,198,134,64,7
8013,dtf,152,87,64,2
9002,ftd,136,102,33,7
9002,dtf,115,82,33,1
9003,ftd,124,97,26,16
9003,dtf,61,35,26,0
9004,ftd,85,59,26,15
9004,dtf,72,46,25,5
9005,ftd,183,120,62,10
9005,dtf,167,105,62,1
10002,ftd,131,102,29,14
10002,dtf,83,54,28,3
10003,ftd,103,77,26,16
10003,dtf,49,23,25,4
11001,ftd,95,66,29,21
11001,dtf,72,43,28,4
11003,ftd,127,92,35,14
11003,dtf,91,56,34,2
11004,ftd,78,55,23,17
11004,dtf,59,36,22,6
12001,ftd,164,114,50,7
12001,dtf,128,78,49,3
12002,ftd,143,100,43,12
12002,dtf,108,65,42,5
12005,ftd,175,121,54,8
12005,dtf,128,74,53,1
12006,ftd,182,129,53,6
12006,dtf,130,77,52,2
12007,ftd,218,149,69,6
12007,dtf,147,78,68,1
12008,ftd,157,118,38,13
12008,dtf,67,29,38,1
12009,ftd,209,153,56,10
12009,dtf,123,67,55,4
13001,ftd,138,107,31,17
13001,dtf,65,34,30,5
13004,ftd,160,121,39,11
13004,dtf,100,61,38,2
13005,ftd,120,92,28,17
13005,dtf,63,35,27,5
13007,ftd,169,128,41,12
13007,dtf,87,46,40,5
13008,ftd,138,104,34,15
13008,dtf,94,60,33,6
14001,ftd,128,99,29,12
14001,dtf,62,33,28,6
14002,ftd,111,84,27,18
14002,dtf,51,24,26,6
14005,ftd,101,74,27,16
14005,dtf,56,29,26,7
15006,ftd,123,88,35,11
15006,dtf,95,60,34,4
15007,ftd,113,75,38,14
15007,dtf,121,83,37,3
15010,ftd,150,111,39,15
15010,dtf,97,58,38,3
15011,ftd,161,124,37,14
15011,dtf,106,69,36,4
15012,ftd,104,68,36,7
15012,dtf,104,68,35,4
15013,ftd,175,140,35,13
15013,dtf,66,31,34,3
15014,ftd,216,163,53,8
15014,dtf,141,88,52,0
15016,ftd,131,91,40,7
15016,dtf,129,89,39,2
15021,ftd,67,38,29,22
15021,dtf,44,15,28,10
15023,ftd,163,126,36,13
15023,dtf,64,28,36,3
15024,ftd,216,171,45,5
15024,dtf,118,73,44,1
15025,ftd,182,139,43,9
15025,dtf,107,64,42,0
15030,ftd,103,74,29,20
15030,dtf,59,30,28,7
15039,ftd,247,171,76,7
15039,dtf,145,69,75,1
16001,ftd,156,126,30,7
16001,dtf,89,59,29,2
16003,ftd,262,210,52,4
16003,dtf,113,61,51,1
16004,ftd,155,122,33,8
16004,dtf,108,75,32,2
17001,ftd,215,178,37,15
17001,dtf,92,55,36,0
17003,ftd,222,188,34,4
17003,dtf,129,95,33,0
17004,ftd,126,98,28,8
17004,dtf,73,44,28,6
17005,ftd,216,178,38,4
17005,dtf,132,94,37,0
17015,ftd,215,167,48,4
17015,dtf,107,59,47,3
17018,ftd,150,122,28,12
17018,dtf,59,30,28,4
18001,ftd,209,175,34,5
18001,dtf,105,71,33,1
18002,ftd,167,136,31,19
18002,dtf,84,53,30,0
18003,ftd,160,129,31,11
18003,dtf,86,55,30,1
18008,ftd,185,135,50,8
18008,dtf,153,103,49,3
18010,ftd,155,117,38,7
18010,dtf,119,81,37,0
18011,ftd,173,143,30,18
18011,dtf,75,45,29,1
18014,ftd,202,171,31,8
18014,dtf,89,58,30,0
18017,ftd,245,173,72,8
18017,dtf,125,53,71,9
18018,ftd,214,157,57,7
18018,dtf,155,98,56,2
19001,ftd,171,141,30,7
19001,dtf,98,68,29,2
19006,ftd,158,127,30,12
19006,dtf,62,32,30,0
19010,ftd,167,129,38,14
19010,dtf,83,45,37,2
19017,ftd,129,99,30,18
19017,dtf,65,35,29,3
19020,ftd,270,209,60,1
19020,dtf,138,78,60,1
20002,ftd,88,67,21,9
20002,dtf,62,41,20,4
20003,ftd,119,93,26,13
20003,dtf,50,24,25,4
20007,ftd,115,88,27,13
20007,dtf,45,18,26,4
21003,ftd,119,89,30,13
21003,dtf,85,54,30,4
21006,ftd,144,113,31,11
21006,dtf,87,56,30,4
21008,ftd,164,133,31,10
21008,dtf,75,44,30,3
21009,ftd,129,98,31,14
21009,dtf,74,43,30,4
21011,ftd,132,97,35,6
21011,dtf,111,76,34,4
21012,ftd,186,148,38,3
21012,dtf,112,74,37,2
21013,ftd,149,114,35,6
21013,dtf,92,57,34,2
21015,ftd,127,99,28,11
21015,dtf,50,22,27,3
21016,ftd,120,90,29,17
21016,dtf,58,29,29,3
21017,ftd,276,203,72,2
21017,dtf,177,105,72,0
21018,ftd,135,105,30,10
21018,dtf,83,53,29,3
21022,ftd,114,86,28,11
21022,dtf,75,47,27,2
21023,ftd,160,128,32,10
21023,dtf,81,49,31,2
21024,ftd,184,148,36,10
21024,dtf,88,52,35,3
21026,ftd,253,175,77,8
21026,dtf,146,69,77,0
21027,ftd,126,97,29,14
21027,dtf,38,9,28,6
22001,ftd,132,103,29,14
22001,dtf,65,36,28,3
22006,ftd,110,82,28,17
22006,dtf,51,22,28,0
22007,ftd,150,121,29,19
22007,dtf,47,18,28,0
22009,ftd,147,116,31,11
22009,dtf,65,34,30,3
23001,ftd,168,134,34,7
23001,dtf,89,54,34,3
23004,ftd,204,169,35,5
23004,dtf,91,55,35,2
23006,ftd,243,200,43,4
23006,dtf,117,73,43,2
23007,ftd,91,44,47,6
23007,dtf,233,186,46,0
23008,ftd,182,148,34,14
23008,dtf,76,42,33,0
23011,ftd,234,184,50,3
23011,dtf,142,92,49,1
23016,ftd,149,123,26,6
23016,dtf,91,64,26,4
24001,ftd,162,131,31,13
24001,dtf,63,31,31,1
24003,ftd,184,148,36,12
24003,dtf,88,51,36,0
24004,ftd,137,105,32,17
24004,dtf,74,41,32,1
24005,ftd,103,78,25,16
24005,dtf,44,18,25,3
25001,ftd,173,139,34,10
25001,dtf,113,78,34,1
25003,ftd,251,185,66,7
25003,dtf,154,88,65,0
25006,ftd,239,178,61,8
25006,dtf,162,101,60,3
25012,ftd,248,191,57,3
25012,dtf,152,95,56,0
25020,ftd,86,65,21,12
25020,dtf,80,58,21,3
25021,ftd,60,46,14,7
25021,dtf,90,75,14,2
25029,ftd,153,124,29,22
25029,dtf,43,14,28,0
26003,ftd,20,7,13,13
26003,dtf,29,15,13,1
26005,ftd,0,0,0,0
26005,dtf,5,0,0,0
26006,ftd,26,11,15,12
26006,dtf,36,20,15,3
26008,ftd,23,13,10,9
26008,dtf,37,26,10,4
26009,ftd,26,10,16,13
26009,dtf,28,11,16,2
27001,ftd,137,108,29,12
27001,dtf,72,42,29,1
27002,ftd,166,137,29,10
27002,dtf,88,58,29,1
27003,ftd,133,105,28,14
27003,dtf,73,44,28,0
27006,ftd,94,68,26,16
27006,dtf,52,25,26,2
27007,ftd,163,131,32,8
27007,dtf,114,81,32,1
27009,ftd,122,93,29,15
27009,dtf,65,35,29,2
27021,ftd,109,81,28,14
27021,dtf,70,41,28,2
27023,ftd,126,95,31,18
27023,dtf,73,41,31,3
27025,ftd,115,88,27,13
27025,dtf,67,39,27,1
27026,ftd,109,82,27,12
27026,dtf,63,35,27,1
27029,ftd,136,108,28,14
27029,dtf,75,46,28,2
27030,ftd,116,88,28,10
27030,dtf,68,39,28,3
27032,ftd,73,58,14,14
27032,dtf,24,10,14,0
27034,ftd,195,159,36,6
27034,dtf,120,84,35,0
27035,ftd,173,142,31,10
27035,dtf,98,67,30,0
27038,ftd,260,198,61,5
27038,dtf,160,99,61,2
27041,ftd,79,51,28,21
27041,dtf,47,18,28,4
27042,ftd,165,135,30,17
27042,dtf,63,32,30,0
27043,ftd,186,150,36,8
27043,dtf,124,88,35,1
27047,ftd,233,170,63,3
27047,dtf,159,96,62,1
27049,ftd,116,88,28,19
27049,dtf,48,19,28,0
27051,ftd,185,155,30,13
27051,dtf,79,48,30,0
27062,ftd,127,99,28,13
27062,dtf,74,45,28,0
27064,ftd,89,54,35,15
27064,dtf,111,75,35,1
27065,ftd,126,97,29,15
27065,dtf,62,32,29,1
27071,ftd,124,95,29,18
27071,dtf,69,39,29,0
27073,ftd,93,65,28,14
27073,dtf,92,64,27,1
27077,ftd,110,51,59,7
27077,dtf,287,228,58,0
27079,ftd,145,116,29,17
27079,dtf,79,49,29,1
27080,ftd,149,119,30,10
27080,dtf,103,72,30,2
27084,ftd,219,187,32,6
27084,dtf,93,60,32,1
27087,ftd,39,23,16,12
27087,dtf,38,21,16,5
27089,ftd,142,113,29,10
27089,dtf,95,65,29,1
27090,ftd,189,157,32,10
27090,dtf,87,55,31,0
28001,ftd,114,85,29,15
28001,dtf,36,6,29,2
28003,ftd,168,92,75,8
28003,dtf,277,202,75,0
28008,ftd,131,102,29,18
28008,dtf,59,30,28,0
28009,ftd,83,56,27,18
28009,dtf,49,21,27,1
28012,ftd,101,75,26,12
28012,dtf,50,23,26,1
28015,ftd,14,5,9,6
28015,dtf,116,107,8,1
28018,ftd,124,96,28,14
28018,dtf,52,23,28,1
28022,ftd,75,48,27,19
28022,dtf,53,25,27,4
28023,ftd,103,76,27,18
28023,dtf,48,20,27,1
28024,ftd,88,63,25,16
28024,dtf,52,26,25,2
28026,ftd,87,60,27,16
28026,dtf,63,35,27,4
28031,ftd,188,155,33,10
28031,dtf,94,61,32,0
28033,ftd,205,155,50,8
28033,dtf,155,105,49,0
28039,ftd,198,150,47,1
28039,dtf,153,105,48,0
28040,ftd,105,78,27,9
28040,dtf,64,36,27,5
28043,ftd,95,67,28,20
