gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,158,130,28,12
1001,dtf,56,28,27,4
2001,ftd,185,153,32,12
2001,dtf,65,33,31,1
2002,ftd,175,123,52,4
2002,dtf,113,61,51,6
3003,ftd,207,139,68,4
3003,dtf,125,57,67,2
4001,ftd,95,65,30,17
4001,dtf,67,37,29,6
4003,ftd,145,111,34,17
4003,dtf,64,30,33,2
4005,ftd,192,145,47,7
4005,dtf,103,56,46,2
4006,ftd,172,122,50,3
4006,dtf,120,70,49,4
5003,ftd,72,41,31,20
5003,dtf,94,63,30,15
6007,ftd,94,56,38,13
6007,dtf,92,54,37,10
6008,ftd,168,123,45,9
6008,dtf,86,41,44,7
7001,ftd,212,132,80,4
7001,dtf,133,53,79,6
7002,ftd,181,115,66,2
7002,dtf,123,57,65,1
7003,ftd,162,118,44,3
7003,dtf,104,59,44,0
7005,ftd,168,128,40,3
7005,dtf,98,58,39,2
7006,ftd,193,125,68,3
7006,dtf,149,80,68,2
8004,ftd,183,121,62,4
8004,dtf,109,47,61,3
8005,ftd,116,81,35,15
8005,dtf,89,54,34,6
8006,ftd,152,97,55,9
8006,dtf,103,48,54,5
8009,ftd,178,121,57,6
8009,dtf,108,51,56,5
8011,ftd,186,128,58,5
8011,dtf,109,51,57,3
8013,ftd,191,125,66,9
8013,dtf,117,51,65,4
9002,ftd,159,117,42,4
9002,dtf,108,65,42,5
9003,ftd,151,125,26,11
9003,dtf,55,28,26,1
9004,ftd,118,87,31,12
9004,dtf,66,34,31,6
9005,ftd,220,158,62,2
9005,dtf,141,79,61,3
10002,ftd,154,120,34,9
10002,dtf,83,48,34,7
10003,ftd,118,93,25,11
10003,dtf,63,37,25,4
11001,ftd,121,92,29,9
11001,dtf,77,47,29,5
11003,ftd,144,112,32,7
11003,dtf,77,45,31,2
11004,ftd,104,75,29,13
11004,dtf,59,29,29,5
12001,ftd,143,92,51,4
12001,dtf,116,65,50,5
12002,ftd,140,99,41,8
12002,dtf,103,62,40,3
12005,ftd,164,111,53,3
12005,dtf,113,60,52,5
12006,ftd,180,126,54,6
12006,dtf,107,53,53,4
12007,ftd,190,120,70,4
12007,dtf,120,50,69,4
12008,ftd,162,124,38,6
12008,dtf,82,44,37,0
12009,ftd,207,155,52,5
12009,dtf,137,85,51,0
13001,ftd,149,119,30,11
13001,dtf,84,54,29,1
13004,ftd,152,111,41,8
13004,dtf,92,51,40,1
13005,ftd,123,95,28,17
13005,dtf,79,51,27,2
13007,ftd,158,115,43,8
13007,dtf,105,62,42,0
13008,ftd,135,99,36,8
13008,dtf,89,53,35,0
14001,ftd,122,96,26,17
14001,dtf,65,39,25,5
14002,ftd,112,86,26,16
14002,dtf,50,24,25,7
14005,ftd,101,78,23,17
14005,dtf,52,29,22,6
15006,ftd,101,66,35,8
15006,dtf,91,56,34,10
15007,ftd,97,59,38,13
15007,dtf,109,71,37,12
15010,ftd,137,97,40,10
15010,dtf,97,57,39,3
15011,ftd,161,117,44,12
15011,dtf,118,74,43,3
15012,ftd,91,57,34,10
15012,dtf,102,68,33,12
15013,ftd,174,132,42,12
15013,dtf,67,25,41,3
15014,ftd,195,137,58,8
15014,dtf,121,63,57,4
15016,ftd,104,62,42,7
15016,dtf,124,82,41,9
15021,ftd,66,41,25,21
15021,dtf,50,25,24,4
15023,ftd,164,121,43,10
15023,dtf,66,23,42,4
15024,ftd,191,146,45,6
15024,dtf,117,72,44,5
15025,ftd,169,122,47,10
15025,dtf,104,57,46,4
15030,ftd,121,91,30,15
15030,dtf,75,45,29,4
15039,ftd,225,145,80,3
15039,dtf,127,47,79,5
16001,ftd,137,99,38,10
16001,dtf,86,48,37,6
16003,ftd,230,170,60,7
16003,dtf,122,62,59,2
16004,ftd,126,89,37,10
16004,dtf,99,62,36,4
17001,ftd,194,155,38,11
17001,dtf,83,45,38,2
17003,ftd,189,150,39,4
17003,dtf,114,75,38,2
17004,ftd,126,101,25,6
17004,dtf,74,49,24,6
17005,ftd,187,146,40,3
17005,dtf,111,71,40,2
17015,ftd,191,129,62,4
17015,dtf,118,56,61,4
17018,ftd,158,130,28,10
17018,dtf,64,36,27,3
18001,ftd,174,130,44,10
18001,dtf,111,67,43,3
18002,ftd,158,122,35,12
18002,dtf,64,29,35,2
18003,ftd,139,106,33,11
18003,dtf,91,58,32,5
18008,ftd,170,105,65,3
18008,dtf,156,91,64,5
18010,ftd,141,106,34,8
18010,dtf,106,72,34,2
18011,ftd,149,114,35,15
18011,dtf,76,41,34,4
18014,ftd,172,141,30,12
18014,dtf,100,70,30,3
18017,ftd,231,148,83,5
18017,dtf,124,41,82,7
18018,ftd,202,134,68,7
18018,dtf,141,73,67,4
19001,ftd,167,136,30,8
19001,dtf,93,63,30,3
19006,ftd,148,117,30,9
19006,dtf,58,28,30,4
19010,ftd,155,128,26,12
19010,dtf,57,31,26,0
19017,ftd,140,116,23,11
19017,dtf,56,33,23,6
19020,ftd,249,174,74,2
19020,dtf,136,62,74,2
20002,ftd,133,110,23,17
20002,dtf,47,24,22,12
20003,ftd,136,112,24,17
20003,dtf,54,30,23,5
20007,ftd,144,120,24,12
20007,dtf,58,34,23,2
21003,ftd,119,90,29,9
21003,dtf,86,57,28,9
21006,ftd,130,100,30,12
21006,dtf,86,56,29,8
21008,ftd,154,124,30,12
21008,dtf,77,47,29,4
21009,ftd,114,86,28,13
21009,dtf,77,49,27,7
21011,ftd,133,96,37,12
21011,dtf,96,59,36,5
21012,ftd,175,128,47,10
21012,dtf,107,60,46,3
21013,ftd,139,96,43,7
21013,dtf,91,48,42,4
21015,ftd,140,111,29,12
21015,dtf,72,43,28,4
21016,ftd,145,120,24,11
21016,dtf,50,26,24,1
21017,ftd,246,166,80,7
21017,dtf,141,61,79,0
21018,ftd,125,95,30,11
21018,dtf,88,58,29,8
21022,ftd,144,114,30,8
21022,dtf,74,44,29,2
21023,ftd,159,122,36,10
21023,dtf,81,45,36,3
21024,ftd,191,151,40,9
21024,dtf,94,54,39,1
21026,ftd,243,157,86,3
21026,dtf,138,52,85,4
21027,ftd,137,110,26,13
21027,dtf,45,19,26,3
22001,ftd,136,107,29,14
22001,dtf,64,35,28,4
22006,ftd,140,121,19,10
22006,dtf,44,25,18,7
22007,ftd,166,144,22,11
22007,dtf,30,8,21,5
22009,ftd,137,105,32,14
22009,dtf,69,37,31,5
23001,ftd,177,137,40,11
23001,dtf,101,61,39,4
23004,ftd,212,165,47,3
23004,dtf,88,41,46,3
23006,ftd,236,178,58,4
23006,dtf,105,47,57,1
23007,ftd,173,149,23,3
23007,dtf,65,41,24,0
23008,ftd,172,137,35,13
23008,dtf,74,39,34,4
23011,ftd,238,169,69,2
23011,dtf,138,69,68,0
23016,ftd,208,184,24,5
23016,dtf,71,47,23,5
24001,ftd,154,118,36,19
24001,dtf,77,41,35,7
24003,ftd,202,159,43,12
24003,dtf,95,52,42,3
24004,ftd,139,108,31,17
24004,dtf,71,40,30,5
24005,ftd,156,134,22,11
24005,dtf,50,28,21,4
25001,ftd,163,115,48,12
25001,dtf,115,67,47,4
25003,ftd,248,151,97,2
25003,dtf,140,43,96,3
25006,ftd,236,156,80,3
25006,dtf,139,59,79,5
25012,ftd,238,165,73,3
25012,dtf,128,55,72,2
25020,ftd,150,126,24,12
25020,dtf,71,46,24,6
25021,ftd,175,154,21,7
25021,dtf,66,44,21,3
25029,ftd,150,124,26,14
25029,dtf,55,29,25,7
26003,ftd,19,7,11,11
26003,dtf,24,12,12,7
26005,ftd,4,2,1,1
26005,dtf,4,2,2,2
26006,ftd,18,6,12,10
26006,dtf,44,31,12,7
26008,ftd,37,25,11,9
26008,dtf,25,13,12,9
26009,ftd,18,5,12,12
26009,dtf,25,12,13,10
