gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,122,92,30,20
1001,dtf,65,35,29,2
2001,ftd,157,126,31,19
2001,dtf,68,37,30,0
2002,ftd,157,123,34,10
2002,dtf,100,66,33,0
3003,ftd,224,178,45,5
3003,dtf,112,67,45,0
4001,ftd,91,64,27,22
4001,dtf,62,35,26,5
4003,ftd,124,87,37,27
4003,dtf,78,41,36,0
4005,ftd,199,163,36,9
4005,dtf,84,48,35,1
4006,ftd,189,153,36,6
4006,dtf,111,75,35,1
5003,ftd,97,68,29,26
5003,dtf,94,65,28,7
6007,ftd,108,78,30,13
6007,dtf,104,74,29,5
6008,ftd,166,136,30,13
6008,dtf,74,44,29,0
7001,ftd,165,123,42,14
7001,dtf,127,85,41,3
7002,ftd,123,83,40,10
7002,dtf,114,74,39,2
7003,ftd,42,21,21,5
7003,dtf,140,119,20,4
7005,ftd,102,60,42,15
7005,dtf,112,70,41,2
7006,ftd,79,31,48,3
7006,dtf,212,164,47,4
8004,ftd,107,68,39,5
8004,dtf,143,104,38,2
8005,ftd,70,45,25,13
8005,dtf,95,70,24,5
8006,ftd,72,41,31,3
8006,dtf,123,92,30,7
8009,ftd,130,93,37,12
8009,dtf,99,62,36,4
8011,ftd,88,49,39,6
8011,dtf,129,90,38,2
8013,ftd,138,99,39,8
8013,dtf,121,82,38,3
9002,ftd,76,43,33,8
9002,dtf,123,90,32,2
9003,ftd,82,50,32,18
9003,dtf,72,40,31,0
9004,ftd,37,15,22,12
9004,dtf,77,55,21,8
9005,ftd,117,76,41,9
9005,dtf,156,115,40,2
10002,ftd,98,65,33,10
10002,dtf,108,75,32,2
10003,ftd,74,46,28,18
10003,dtf,71,43,27,4
11001,ftd,61,34,27,13
11001,dtf,81,54,26,6
11003,ftd,65,38,27,11
11003,dtf,90,63,26,7
11004,ftd,40,19,21,14
11004,dtf,68,47,20,3
12001,ftd,113,79,34,7
12001,dtf,114,80,33,1
12002,ftd,111,79,32,10
12002,dtf,97,65,31,1
12005,ftd,138,101,37,7
12005,dtf,113,76,36,1
12006,ftd,117,79,38,7
12006,dtf,114,76,37,0
12007,ftd,165,125,40,5
12007,dtf,115,75,39,1
12008,ftd,145,110,35,10
12008,dtf,68,33,34,0
12009,ftd,200,156,44,4
12009,dtf,120,76,43,0
13001,ftd,122,91,31,12
13001,dtf,66,35,30,3
13004,ftd,159,128,31,8
13004,dtf,92,60,31,1
13005,ftd,118,87,31,13
13005,dtf,55,24,30,0
13007,ftd,152,117,35,7
13007,dtf,89,54,34,1
13008,ftd,141,108,33,8
