gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,111,77,34,14
1001,dtf,65,31,33,2
2001,ftd,124,89,35,14
2001,dtf,82,47,34,1
2002,ftd,123,81,42,7
2002,dtf,125,83,41,1
3003,ftd,168,114,54,6
3003,dtf,160,106,53,2
4001,ftd,69,41,28,15
4001,dtf,79,51,27,2
4003,ftd,113,78,35,20
4003,dtf,78,43,34,0
4005,ftd,174,119,55,2
4005,dtf,172,117,54,0
4006,ftd,164,116,48,4
4006,dtf,149,101,47,2
5003,ftd,62,40,22,13
5003,dtf,113,91,21,2
6007,ftd,83,53,30,8
6007,dtf,119,89,29,3
6008,ftd,147,112,35,6
6008,dtf,86,51,34,1
7001,ftd,158,108,50,7
7001,dtf,168,118,49,2
7002,ftd,132,81,51,5
7002,dtf,148,97,50,3
7003,ftd,71,44,27,3
7003,dtf,145,118,26,0
7005,ftd,115,68,47,13
7005,dtf,146,99,46,0
7006,ftd,94,43,51,0
7006,dtf,236,185,50,1
8004,ftd,131,86,45,5
8004,dtf,163,118,44,0
8005,ftd,63,38,25,12
8005,dtf,94,69,24,1
8006,ftd,65,30,35,4
8006,dtf,147,112,34,2
8009,ftd,130,89,41,5
8009,dtf,138,97,40,1
8011,ftd,114,71,43,5
8011,dtf,163,120,42,0
8013,ftd,150,112,38,5
8013,dtf,141,103,37,1
9002,ftd,89,54,35,8
9002,dtf,153,118,34,1
9003,ftd,82,54,28,16
9003,dtf,71,43,27,0
9004,ftd,53,32,21,10
9004,dtf,97,76,20,0
9005,ftd,134,85,49,5
9005,dtf,210,161,48,0
10002,ftd,101,72,29,9
10002,dtf,110,81,28,4
10003,ftd,63,40,23,13
10003,dtf,74,51,22,1
11001,ftd,67,44,23,9
11001,dtf,101,78,22,0
11003,ftd,70,43,27,6
11003,dtf,119,92,26,2
11004,ftd,51,32,19,13
11004,dtf,74,55,18,0
12001,ftd,99,68,31,8
12001,dtf,123,92,30,2
12002,ftd,95,64,31,9
12002,dtf,117,86,30,2
12005,ftd,138,101,37,7
12005,dtf,121,84,36,1
12006,ftd,105,65,40,6
12006,dtf,130,90,39,1
12007,ftd,151,110,41,7
12007,dtf,140,99,40,1
12008,ftd,125,89,36,5
12008,dtf,89,53,35,1
12009,ftd,174,129,45,2
12009,dtf,163,118,44,0
13001,ftd,111,79,32,5
13001,dtf,81,49,31,2
13004,ftd,149,118,31,9
13004,dtf,103,72,30,0
13005,ftd,112,81,31,13
13005,dtf,63,32,30,1
13007,ftd,139,106,33,6
13007,dtf,115,82,32,0
13008,ftd,128,97,31,9
13008,dtf,102,71,30,0
14001,ftd,100,69,31,9
14001,dtf,81,50,30,0
14002,ftd,84,53,31,17
14002,dtf,57,26,30,2
14005,ftd,56,34,22,13
14005,dtf,55,33,21,4
15006,ftd,104,73,31,14
15006,dtf,96,65,30,5
15007,ftd,80,50,30,11
15007,dtf,128,98,29,3
15010,ftd,111,81,30,9
15010,dtf,98,68,29,1
15011,ftd,180,120,60,7
15011,dtf,153,92,60,0
15012,ftd,92,62,30,14
15012,dtf,111,81,29,6
15013,ftd,154,120,34,11
15013,dtf,70,36,33,0
15014,ftd,191,150,41,6
15014,dtf,143,102,40,0
15016,ftd,109,73,36,12
15016,dtf,131,95,35,2
15021,ftd,49,24,25,17
15021,dtf,42,17,24,2
15023,ftd,145,111,34,9
15023,dtf,65,31,33,0
15024,ftd,214,177,37,3
15024,dtf,121,84,36,0
15025,ftd,164,126,38,9
15025,dtf,131,93,37,1
15030,ftd,99,68,31,13
15030,dtf,62,31,30,2
15039,ftd,201,153,48,3
15039,dtf,148,100,47,0
16001,ftd,148,117,31,13
16001,dtf,76,45,30,2
16003,ftd,257,207,50,1
16003,dtf,130,80,49,0
16004,ftd,147,115,32,12
16004,dtf,100,68,31,0
17001,ftd,200,160,40,15
17001,dtf,93,53,39,0
17003,ftd,194,158,36,3
17003,dtf,142,106,35,0
17004,ftd,96,69,27,5
17004,dtf,89,62,26,0
17005,ftd,168,135,33,7
17005,dtf,131,98,32,0
17015,ftd,188,148,40,2
17015,dtf,131,91,39,0
17018,ftd,112,82,30,6
17018,dtf,75,45,29,0
18001,ftd,186,152,34,7
18001,dtf,97,63,33,0
18002,ftd,149,116,33,18
18002,dtf,67,34,32,0
18003,ftd,164,132,32,8
18003,dtf,94,62,31,1
18008,ftd,178,127,51,5
18008,dtf,164,113,50,0
18010,ftd,136,95,41,5
18010,dtf,143,102,40,1
18011,ftd,146,114,32,17
18011,dtf,80,48,31,1
18014,ftd,195,162,33,9
18014,dtf,93,60,32,0
18017,ftd,233,183,50,3
18017,dtf,141,91,49,1
18018,ftd,173,128,45,2
18018,dtf,170,125,44,1
19001,ftd,132,100,32,3
19001,dtf,93,61,31,0
19006,ftd,128,96,32,12
19006,dtf,70,38,31,0
19010,ftd,132,95,37,9
19010,dtf,106,69,36,0
19017,ftd,93,64,29,15
19017,dtf,56,27,28,0
19020,ftd,224,167,57,3
19020,dtf,165,108,56,0
20002,ftd,65,47,18,4
20002,dtf,82,64,17,2
20003,ftd,58,36,22,7
20003,dtf,61,39,21,2
20007,ftd,69,41,28,11
20007,dtf,71,43,27,1
21003,ftd,89,59,30,11
21003,dtf,78,48,29,2
21006,ftd,134,104,30,9
21006,dtf,86,56,29,1
21008,ftd,137,106,31,11
21008,dtf,88,57,30,1
21009,ftd,89,59,30,14
21009,dtf,92,62,29,1
21011,ftd,112,80,32,9
21011,dtf,114,82,31,1
21012,ftd,186,152,34,4
21012,dtf,128,94,33,1
21013,ftd,102,70,32,7
21013,dtf,100,68,31,0
21015,ftd,75,46,29,11
21015,dtf,72,43,28,0
21016,ftd,96,66,30,10
21016,dtf,82,52,29,1
21017,ftd,260,195,65,2
21017,dtf,178,113,64,0
21018,ftd,98,68,30,9
21018,dtf,86,56,29,1
21022,ftd,76,44,32,6
21022,dtf,120,88,31,2
21023,ftd,122,88,34,7
21023,dtf,100,66,33,0
21024,ftd,152,120,32,7
21024,dtf,116,84,31,0
21026,ftd,239,183,56,3
21026,dtf,152,96,55,1
21027,ftd,86,56,30,14
21027,dtf,62,32,29,1
22001,ftd,93,64,29,14
22001,dtf,85,56,28,1
22006,ftd,64,42,22,11
22006,dtf,48,26,21,1
22007,ftd,94,65,29,20
22007,dtf,46,17,28,1
22009,ftd,90,59,31,13
22009,dtf,84,53,30,2
23001,ftd,139,105,34,6
23001,dtf,113,79,33,0
23004,ftd,188,148,40,4
23004,dtf,113,73,39,0
23006,ftd,215,168,47,4
23006,dtf,133,86,46,0
23007,ftd,41,3,38,0
23007,dtf,170,131,38,0
23008,ftd,117,87,30,10
23008,dtf,94,64,29,1
23011,ftd,247,193,54,0
23011,dtf,165,111,53,0
23016,ftd,82,58,24,7
23016,dtf,131,107,23,1
24001,ftd,116,86,30,15
24001,dtf,88,58,29,0
24003,ftd,135,103,32,6
24003,dtf,123,91,31,0
24004,ftd,94,66,28,14
24004,dtf,99,71,27,0
24005,ftd,53,37,16,7
24005,dtf,72,56,15,0
25001,ftd,123,91,32,9
25001,dtf,137,105,31,0
25003,ftd,221,162,59,6
25003,dtf,150,91,58,0
25006,ftd,201,157,44,4
25006,dtf,178,134,43,2
25012,ftd,218,167,51,2
25012,dtf,160,109,50,0
25020,ftd,43,29,14,6
25020,dtf,125,111,13,0
25021,ftd,24,14,10,4
25021,dtf,123,113,9,2
25029,ftd,80,54,26,10
25029,dtf,71,45,25,3
26003,ftd,12,1,11,10
26003,dtf,34,22,11,0
26005,ftd,0,0,0,0
26005,dtf,1,0,0,0
26006,ftd,17,2,15,10
26006,dtf,55,39,15,1
26008,ftd,14,4,10,9
26008,dtf,40,29,10,1
26009,ftd,19,3,16,11
26009,dtf,35,18,16,3
27001,ftd,90,61,29,14
27001,dtf,69,40,28,1
27002,ftd,130,98,32,6
27002,dtf,111,79,31,0
27003,ftd,102,71,31,8
27003,dtf,83,52,30,1
27006,ftd,41,23,18,8
27006,dtf,57,39,17,0
27007,ftd,143,111,32,7
27007,dtf,114,82,31,0
27009,ftd,81,53,28,12
