gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,114,84,30,15
1001,dtf,68,38,29,3
2001,ftd,129,96,33,15
2001,dtf,87,54,32,1
2002,ftd,142,101,41,6
2002,dtf,128,87,40,7
3003,ftd,184,121,63,7
3003,dtf,158,95,62,1
4001,ftd,56,32,24,16
4001,dtf,85,61,23,7
4003,ftd,105,69,36,23
4003,dtf,86,49,36,2
4005,ftd,163,104,59,10
4005,dtf,170,110,59,0
4006,ftd,146,96,50,10
4006,dtf,152,101,50,5
5003,ftd,58,34,24,17
5003,dtf,135,111,23,8
6007,ftd,72,45,27,13
6007,dtf,129,102,26,6
6008,ftd,137,101,36,15
6008,dtf,91,55,35,2
7001,ftd,187,133,54,14
7001,dtf,114,60,53,0
7002,ftd,150,101,49,10
7002,dtf,116,67,48,2
7003,ftd,100,64,36,6
7003,dtf,146,109,36,2
7005,ftd,130,82,48,13
7005,dtf,105,56,48,2
7006,ftd,126,64,62,2
7006,dtf,200,137,62,0
8004,ftd,148,102,46,6
8004,dtf,138,91,46,0
8005,ftd,71,44,27,16
8005,dtf,113,85,27,7
8006,ftd,82,45,37,10
8006,dtf,151,113,37,5
8009,ftd,135,92,43,12
8009,dtf,128,84,43,2
8011,ftd,135,87,48,5
8011,dtf,152,103,48,0
8013,ftd,157,110,47,10
8013,dtf,132,84,47,3
9002,ftd,113,78,35,9
9002,dtf,129,93,35,5
9003,ftd,108,83,25,15
9003,dtf,65,39,25,3
9004,ftd,79,56,23,10
9004,dtf,83,59,23,6
9005,ftd,158,107,51,10
9005,dtf,168,116,51,0
10002,ftd,132,98,34,13
10002,dtf,102,68,33,4
10003,ftd,96,66,30,16
10003,dtf,80,49,30,4
11001,ftd,92,63,29,14
11001,dtf,102,72,29,3
11003,ftd,101,72,29,15
11003,dtf,105,75,29,4
11004,ftd,87,62,25,15
11004,dtf,80,54,25,4
12001,ftd,101,65,36,16
12001,dtf,111,75,35,1
