gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,142,112,30,13
1001,dtf,70,40,29,0
2001,ftd,190,160,30,9
2001,dtf,71,41,29,1
2002,ftd,187,130,57,0
2002,dtf,126,69,56,2
3003,ftd,226,159,66,3
3003,dtf,138,72,66,2
4001,ftd,107,75,32,15
4001,dtf,80,48,31,12
4003,ftd,168,135,33,20
4003,dtf,70,37,32,2
4005,ftd,211,163,48,6
4005,dtf,115,67,47,2
4006,ftd,186,130,56,4
4006,dtf,128,72,55,7
5003,ftd,92,62,30,21
5003,dtf,95,65,29,10
6007,ftd,105,71,34,10
6007,dtf,102,68,33,9
6008,ftd,181,124,57,6
6008,dtf,104,47,56,3
7001,ftd,220,138,82,5
7001,dtf,158,76,81,5
7002,ftd,190,118,72,3
7002,dtf,134,62,71,4
7003,ftd,153,105,48,3
7003,dtf,114,65,48,2
7005,ftd,169,128,41,10
7005,dtf,82,41,40,2
7006,ftd,194,113,81,1
7006,dtf,156,75,80,2
8004,ftd,195,126,69,6
8004,dtf,131,62,68,2
8005,ftd,127,92,35,13
8005,dtf,85,49,35,5
8006,ftd,160,102,58,5
8006,dtf,129,71,57,3
8009,ftd,193,129,64,5
8009,dtf,121,57,63,5
8011,ftd,194,131,63,4
8011,dtf,120,57,62,3
8013,ftd,194,121,73,6
8013,dtf,139,66,72,4
9002,ftd,145,98,47,7
9002,dtf,117,70,46,4
9003,ftd,143,116,27,14
9003,dtf,61,33,27,5
9004,ftd,117,85,32,10
9004,dtf,76,43,32,7
9005,ftd,230,149,81,2
9005,dtf,152,71,80,2
10002,ftd,146,113,33,8
10002,dtf,96,63,32,3
10003,ftd,117,92,25,11
10003,dtf,73,48,24,3
11001,ftd,108,78,30,12
11001,dtf,80,49,30,4
11003,ftd,147,106,41,10
11003,dtf,93,52,40,3
11004,ftd,97,71,26,16
11004,dtf,63,36,26,5
12001,ftd,158,102,56,6
12001,dtf,124,68,55,3
12002,ftd,145,95,50,7
12002,dtf,113,63,49,3
12005,ftd,169,109,60,7
12005,dtf,119,59,59,3
12006,ftd,178,119,59,4
12006,dtf,126,67,58,3
12007,ftd,197,120,77,2
12007,dtf,146,69,76,4
12008,ftd,150,110,40,11
12008,dtf,68,28,39,2
12009,ftd,209,146,63,6
12009,dtf,123,60,62,1
13001,ftd,121,89,32,14
13001,dtf,68,36,31,4
13004,ftd,150,103,47,11
13004,dtf,101,54,46,3
13005,ftd,111,81,30,14
13005,dtf,59,29,29,6
13007,ftd,155,106,49,9
13007,dtf,99,50,48,2
13008,ftd,124,86,38,8
13008,dtf,100,62,37,3
14001,ftd,126,101,25,12
14001,dtf,69,43,25,3
14002,ftd,104,77,27,18
14002,dtf,51,24,26,4
14005,ftd,103,83,20,11
14005,dtf,57,36,20,4
15006,ftd,112,78,34,10
15006,dtf,111,77,33,4
15007,ftd,101,65,36,10
15007,dtf,127,91,35,9
15010,ftd,132,96,36,9
15010,dtf,107,71,35,3
15011,ftd,162,122,40,10
15011,dtf,120,79,40,2
15012,ftd,99,61,38,12
15012,dtf,102,64,37,7
15013,ftd,177,140,37,11
15013,dtf,61,24,36,1
15014,ftd,207,140,67,4
15014,dtf,136,69,66,3
15016,ftd,115,72,43,7
15016,dtf,134,91,42,6
15021,ftd,56,34,22,17
15021,dtf,43,21,21,5
15023,ftd,166,125,41,9
15023,dtf,68,27,40,2
15024,ftd,201,148,53,3
15024,dtf,129,76,52,2
15025,ftd,167,110,57,6
15025,dtf,122,65,56,4
15030,ftd,111,81,30,13
15030,dtf,72,42,29,6
15039,ftd,222,132,90,3
15039,dtf,154,64,89,5
16001,ftd,143,108,35,11
16001,dtf,91,56,34,3
16003,ftd,248,171,77,5
16003,dtf,127,50,76,0
16004,ftd,142,103,39,9
16004,dtf,110,71,38,5
17001,ftd,189,155,34,11
17001,dtf,89,55,33,2
17003,ftd,188,150,38,8
17003,dtf,116,78,37,1
17004,ftd,123,101,22,4
17004,dtf,86,63,22,4
17005,ftd,191,150,41,9
17005,dtf,105,64,40,1
17015,ftd,200,136,64,7
17015,dtf,114,50,63,1
17018,ftd,140,116,24,11
17018,dtf,70,45,24,5
18001,ftd,177,127,50,6
18001,dtf,119,69,49,5
18002,ftd,153,122,31,19
18002,dtf,72,41,30,1
18003,ftd,149,117,32,12
18003,dtf,90,58,31,1
18008,ftd,173,106,67,3
18008,dtf,162,95,66,3
18010,ftd,136,102,34,8
18010,dtf,104,70,33,1
18011,ftd,141,114,27,17
