gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,118,85,33,11
1001,dtf,62,29,32,6
2001,ftd,142,106,35,10
2001,dtf,99,63,36,1
2002,ftd,145,94,50,6
2002,dtf,130,80,50,5
3003,ftd,186,126,59,3
3003,dtf,156,97,59,0
4001,ftd,68,40,28,22
4001,dtf,78,50,27,6
4003,ftd,126,83,43,17
4003,dtf,97,54,42,4
4005,ftd,161,110,50,8
4005,dtf,148,98,50,2
4006,ftd,148,95,52,7
4006,dtf,145,93,52,6
5003,ftd,60,35,25,15
5003,dtf,130,105,24,6
6007,ftd,71,43,27,9
6007,dtf,125,98,27,6
6008,ftd,130,95,34,11
6008,dtf,82,48,34,6
7001,ftd,166,112,53,10
7001,dtf,141,88,53,1
7002,ftd,143,95,47,10
7002,dtf,122,75,47,2
7003,ftd,79,47,32,4
7003,dtf,157,125,31,3
7005,ftd,136,86,49,12
7005,dtf,116,67,49,1
7006,ftd,111,48,62,2
7006,dtf,238,176,62,1
8004,ftd,145,95,49,5
8004,dtf,150,101,49,0
8005,ftd,79,49,30,14
8005,dtf,114,83,30,6
8006,ftd,80,48,32,8
8006,dtf,153,121,31,5
8009,ftd,133,89,43,14
8009,dtf,133,90,43,4
8011,ftd,136,89,47,7
8011,dtf,155,107,47,1
8013,ftd,139,93,46,7
8013,dtf,142,96,45,4
9002,ftd,105,71,34,7
9002,dtf,133,99,33,2
9003,ftd,103,75,27,14
9003,dtf,75,47,28,4
9004,ftd,74,49,25,8
9004,dtf,100,74,25,7
9005,ftd,163,101,61,6
9005,dtf,178,117,61,3
10002,ftd,132,99,33,7
10002,dtf,98,65,32,2
10003,ftd,96,70,26,6
10003,dtf,87,61,25,7
11001,ftd,91,64,27,9
11001,dtf,106,79,26,3
11003,ftd,99,70,29,9
11003,dtf,104,74,29,2
11004,ftd,73,47,26,11
11004,dtf,81,55,25,6
12001,ftd,116,80,36,8
12001,dtf,114,78,35,4
12002,ftd,121,88,33,11
12002,dtf,101,68,32,3
12005,ftd,152,107,45,3
12005,dtf,134,89,44,0
12006,ftd,142,100,42,7
12006,dtf,114,72,41,1
12007,ftd,155,107,47,11
12007,dtf,127,80,47,1
12008,ftd,148,107,41,9
12008,dtf,68,27,40,0
12009,ftd,204,156,48,7
12009,dtf,139,91,47,2
13001,ftd,133,98,35,9
13001,dtf,76,41,34,3
13004,ftd,143,108,35,8
13004,dtf,104,69,34,0
13005,ftd,109,78,31,14
13005,dtf,77,46,30,8
13007,ftd,155,117,38,8
13007,dtf,91,53,37,1
13008,ftd,135,101,34,9
13008,dtf,106,72,33,2
14001,ftd,125,91,34,11
14001,dtf,82,48,33,3
14002,ftd,98,71,27,18
14002,dtf,60,33,26,5
14005,ftd,80,53,27,19
14005,dtf,58,31,26,6
15006,ftd,97,66,31,7
15006,dtf,119,88,30,1
15007,ftd,84,58,26,5
15007,dtf,131,105,25,1
15010,ftd,127,94,33,10
15010,dtf,105,72,32,3
15011,ftd,168,102,66,6
15011,dtf,197,130,66,1
15012,ftd,86,58,28,8
15012,dtf,119,91,27,4
15013,ftd,164,126,38,7
15013,dtf,74,36,37,0
15014,ftd,200,155,44,7
15014,dtf,140,96,44,0
15016,ftd,103,70,33,6
15016,dtf,143,110,32,3
15021,ftd,56,31,25,19
15021,dtf,53,27,25,9
15023,ftd,150,113,37,7
15023,dtf,77,40,36,1
15024,ftd,192,155,36,6
15024,dtf,128,92,36,0
15025,ftd,169,130,38,8
15025,dtf,125,87,38,2
15030,ftd,101,69,31,13
15030,dtf,73,42,31,6
15039,ftd,201,142,58,4
15039,dtf,141,83,58,0
16001,ftd,128,97,31,1
16001,dtf,107,76,30,1
16003,ftd,237,180,56,1
16003,dtf,134,78,56,0
16004,ftd,123,87,36,5
16004,dtf,120,84,35,0
17001,ftd,174,132,41,12
17001,dtf,110,69,41,2
17003,ftd,194,152,41,4
17003,dtf,148,107,41,4
17004,ftd,121,87,34,9
17004,dtf,85,51,33,2
17005,ftd,176,134,41,9
17005,dtf,147,106,41,1
17015,ftd,207,159,47,4
17015,dtf,133,86,47,3
17018,ftd,131,96,35,16
17018,dtf,73,37,35,1
18001,ftd,175,132,42,6
18001,dtf,128,86,42,1
18002,ftd,144,106,37,13
18002,dtf,85,48,37,3
18003,ftd,150,113,36,5
18003,dtf,117,81,36,2
18008,ftd,162,109,52,2
18008,dtf,177,125,52,3
18010,ftd,123,77,45,1
18010,dtf,168,123,45,0
18011,ftd,135,102,32,13
18011,dtf,106,74,32,1
18014,ftd,173,134,38,10
18014,dtf,124,86,38,3
18017,ftd,222,150,71,8
18017,dtf,117,46,71,11
18018,ftd,169,114,54,3
18018,dtf,172,118,54,3
19001,ftd,141,104,36,9
19001,dtf,110,74,36,1
19006,ftd,118,90,27,15
19006,dtf,58,31,27,6
19010,ftd,134,100,33,14
19010,dtf,84,51,33,0
19017,ftd,113,85,27,19
19017,dtf,71,44,27,1
19020,ftd,220,153,66,6
19020,dtf,158,92,66,5
20002,ftd,76,58,18,12
20002,dtf,65,46,18,5
20003,ftd,99,73,25,18
20003,dtf,58,32,26,4
20007,ftd,91,62,28,17
20007,dtf,66,38,28,4
21003,ftd,112,80,31,9
21003,dtf,95,64,31,6
21006,ftd,117,85,31,10
21006,dtf,112,81,31,5
21008,ftd,145,110,34,12
21008,dtf,102,68,34,4
21009,ftd,110,77,32,14
21009,dtf,101,69,32,4
21011,ftd,116,78,37,8
21011,dtf,138,101,37,5
21012,ftd,166,120,45,8
21012,dtf,143,98,45,3
21013,ftd,117,80,36,9
21013,dtf,103,67,36,6
21015,ftd,114,85,28,15
21015,dtf,85,57,28,1
21016,ftd,118,87,30,11
21016,dtf,64,34,30,3
21017,ftd,213,148,64,2
21017,dtf,156,92,64,3
21018,ftd,113,83,29,9
21018,dtf,80,51,29,5
21022,ftd,110,77,32,9
21022,dtf,112,80,32,2
21023,ftd,138,103,34,9
21023,dtf,94,60,34,4
21024,ftd,169,134,34,11
