gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,129,98,31,20
1001,dtf,64,32,31,4
2001,ftd,179,145,33,18
2001,dtf,84,50,34,0
2002,ftd,179,133,45,3
2002,dtf,102,56,46,2
3003,ftd,225,179,45,7
3003,dtf,126,80,46,2
4001,ftd,100,69,31,16
4001,dtf,68,36,31,11
4003,ftd,175,139,35,22
4003,dtf,88,52,36,2
4005,ftd,219,178,40,10
4005,dtf,105,64,41,0
4006,ftd,184,136,47,8
4006,dtf,139,91,48,0
5003,ftd,88,59,29,20
5003,dtf,107,77,29,8
6007,ftd,108,78,30,17
6007,dtf,111,80,30,4
6008,ftd,201,162,39,12
6008,dtf,83,43,39,3
7001,ftd,236,170,65,12
7001,dtf,130,65,65,1
7002,ftd,204,142,61,7
7002,dtf,113,52,61,0
7003,ftd,131,95,36,11
7003,dtf,104,67,36,2
7005,ftd,154,113,40,13
7005,dtf,103,62,41,0
7006,ftd,171,100,71,4
7006,dtf,163,91,71,2
8004,ftd,189,139,50,3
8004,dtf,116,66,49,1
8005,ftd,113,80,33,7
8005,dtf,103,69,33,6
8006,ftd,149,105,44,6
8006,dtf,113,68,44,3
8009,ftd,200,150,50,8
8009,dtf,112,61,50,3
8011,ftd,191,144,47,2
8011,dtf,107,60,46,0
8013,ftd,203,142,61,3
8013,dtf,141,79,61,1
9002,ftd,154,120,34,12
9002,dtf,100,65,34,2
9003,ftd,138,111,27,17
9003,dtf,53,26,26,1
9004,ftd,122,98,24,9
9004,dtf,70,45,24,3
9005,ftd,212,161,51,2
9005,dtf,135,84,50,0
10002,ftd,154,124,30,12
10002,dtf,88,57,30,0
10003,ftd,119,93,26,16
10003,dtf,51,24,26,4
11001,ftd,120,93,27,13
11001,dtf,75,47,27,4
11003,ftd,150,119,31,9
11003,dtf,83,51,31,4
11004,ftd,104,79,25,18
11004,dtf,56,30,25,4
12001,ftd,158,114,44,9
12001,dtf,112,67,44,1
12002,ftd,144,111,33,8
12002,dtf,98,64,33,4
12005,ftd,183,137,46,6
12005,dtf,115,68,46,0
12006,ftd,175,127,48,4
12006,dtf,122,73,48,0
12007,ftd,206,136,70,8
12007,dtf,140,69,70,1
12008,ftd,172,139,33,7
12008,dtf,74,40,33,3
12009,ftd,234,187,47,7
12009,dtf,122,74,47,4
13001,ftd,157,129,28,11
13001,dtf,67,38,28,2
13004,ftd,185,152,33,13
13004,dtf,91,57,33,4
13005,ftd,136,108,28,16
13005,dtf,79,50,28,4
13007,ftd,183,153,30,9
13007,dtf,82,51,30,3
13008,ftd,157,127,30,11
13008,dtf,77,46,30,5
14001,ftd,144,116,28,17
14001,dtf,82,53,28,6
14002,ftd,120,92,28,18
14002,dtf,55,26,28,5
14005,ftd,108,81,27,22
14005,dtf,58,30,27,12
15006,ftd,132,100,32,12
15006,dtf,94,61,32,4
15007,ftd,114,80,34,10
15007,dtf,118,83,34,3
15010,ftd,173,139,34,16
15010,dtf,86,51,34,5
15011,ftd,162,126,36,17
15011,dtf,84,47,36,1
15012,ftd,98,66,32,9
15012,dtf,100,67,32,7
15013,ftd,210,178,32,12
15013,dtf,66,33,32,3
15014,ftd,228,177,51,3
15014,dtf,128,76,51,2
15016,ftd,124,88,36,11
15016,dtf,125,88,36,3
15021,ftd,67,39,28,24
15021,dtf,51,22,28,10
15023,ftd,186,155,31,16
15023,dtf,56,24,31,3
15024,ftd,230,183,46,7
15024,dtf,114,67,47,1
15025,ftd,201,164,37,6
15025,dtf,106,68,37,2
15030,ftd,127,99,28,22
15030,dtf,67,38,28,2
15039,ftd,239,164,74,8
15039,dtf,146,71,75,1
16001,ftd,155,123,32,8
16001,dtf,80,47,32,5
16003,ftd,265,218,46,2
16003,dtf,108,61,47,2
