gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
21013,ftd,135,104,31,12
21013,dtf,91,60,30,3
21015,ftd,126,98,28,13
21015,dtf,53,24,28,3
21016,ftd,135,106,29,15
21016,dtf,53,23,29,3
21017,ftd,243,188,55,4
21017,dtf,152,97,54,0
21018,ftd,130,101,29,15
21018,dtf,75,45,29,2
21022,ftd,129,100,29,8
21022,dtf,95,65,29,1
21023,ftd,141,111,30,10
21023,dtf,84,54,29,2
21024,ftd,166,136,30,6
21024,dtf,122,92,29,1
21026,ftd,249,188,61,6
21026,dtf,138,77,60,1
21027,ftd,139,110,29,12
21027,dtf,54,24,29,2
22001,ftd,119,90,29,15
22001,dtf,79,50,28,1
22006,ftd,95,71,24,14
22006,dtf,49,24,24,3
22007,ftd,145,117,28,15
22007,dtf,52,24,27,1
22009,ftd,128,98,30,15
22009,dtf,82,52,29,1
23001,ftd,169,139,30,6
23001,dtf,106,75,30,1
23004,ftd,182,145,37,9
23004,dtf,103,66,36,0
23006,ftd,210,160,50,8
23006,dtf,118,68,49,1
23007,ftd,73,39,34,2
23007,dtf,204,169,34,0
23008,ftd,153,123,30,13
23008,dtf,90,59,30,1
23011,ftd,237,186,51,4
23011,dtf,152,101,50,0
23016,ftd,126,101,25,5
23016,dtf,118,92,25,7
24001,ftd,128,98,30,18
24001,dtf,71,40,30,1
24003,ftd,162,131,31,7
24003,dtf,107,75,31,1
24004,ftd,119,90,29,18
24004,dtf,75,45,29,1
24005,ftd,81,61,20,5
24005,dtf,60,39,20,3
25001,ftd,141,109,32,12
25001,dtf,127,94,32,1
25003,ftd,222,164,57,5
25003,dtf,159,102,57,0
25006,ftd,213,164,49,1
25006,dtf,171,122,48,0
25012,ftd,226,178,47,3
25012,dtf,142,95,47,0
25020,ftd,59,44,15,8
25020,dtf,74,58,15,5
25021,ftd,49,38,11,2
25021,dtf,91,79,11,5
25029,ftd,97,69,28,18
25029,dtf,63,34,28,3
26003,ftd,7,4,3,3
26003,dtf,30,26,3,1
26005,ftd,0,0,0,0
26005,dtf,4,0,0,0
26006,ftd,15,4,11,9
26006,dtf,42,30,11,3
26008,ftd,12,7,5,2
26008,dtf,36,30,5,4
26009,ftd,12,6,6,6
26009,dtf,31,24,6,1
27001,ftd,120,92,28,11
27001,dtf,65,36,28,2
27002,ftd,154,125,29,6
27002,dtf,99,69,29,0
27003,ftd,123,95,28,14
27003,dtf,78,49,28,3
27006,ftd,102,77,25,11
27006,dtf,59,33,25,5
27007,ftd,157,124,33,14
27007,dtf,100,66,33,0
27009,ftd,106,77,29,17
27009,dtf,80,50,29,1
