direction,total_precursor_events,superseded,pct_superseded,consumed,pct_consumed,consumed_but_gap_excluded,pct_gap_excluded
ftd,2761423,2074054,75.10815981470424,674475,24.42490701352165,219605,7.952602697956815
dtf,1695347,1008341,59.47696843183136,667597,39.37819219310265,64073,3.779344287629612
