metric,country,n,median,q25,q75
delta_gap,England,385,-2.5,-6.5,1.25
delta_gap,Scotland,164,3.625,0.75,6.875
delta_gap,Wales,61,0.5,-4.5,3.25
delta_freq,England,385,0.06839080459770108,-0.012643678160919547,0.12413793103448278
delta_freq,Scotland,164,-0.16408045977011476,-0.3448275862068966,-0.01939655172413779
delta_freq,Wales,61,-0.07758620689655171,-0.443103448275862,0.01724137931034475
delta_recovery_rate,England,385,0.2686941732794108,0.04159294639505351,0.5326213059163063
delta_recovery_rate,Scotland,164,0.00588793263978072,-0.10951839793844319,0.12046544271159088
delta_recovery_rate,Wales,61,0.17138090341277668,0.011442205882353562,0.47408375086266474
delta_drought_dur,England,385,36.0,4.25,54.75
delta_drought_dur,Scotland,164,1.125,-0.5,5.0625
delta_drought_dur,Wales,61,3.25,0.0,20.25
delta_flood_peak,England,385,-0.009674999999999878,-0.20020000000000016,0.23667499999999997
delta_flood_peak,Scotland,164,-0.2694625000000004,-0.8269812500000002,0.21894999999999865
delta_flood_peak,Wales,61,1.099650000000004,0.05924999999999869,1.9346999999999994
delta_sm_drought_end,England,385,-2.738900000000015,-8.779150000000016,0.02410000000000423
delta_sm_drought_end,Scotland,164,-2.453624999999999,-6.3518750000000015,-0.22992499999999882
delta_sm_drought_end,Wales,61,-2.1858250000000083,-6.037475000000001,-0.7113499999999959
delta_sm_flood_onset,England,385,-0.22827499999999645,-1.8109499999999912,0.655824999999993
delta_sm_flood_onset,Scotland,164,-0.08385000000000531,-0.41159375000000686,0.03179999999999694
delta_sm_flood_onset,Wales,61,-0.025099999999980582,-0.2565500000000043,0.08117500000000177
