pair,median1,median2,n1,n2,pvalue,significant
England vs Scotland,0.2711903637611832,-0.007764424521060088,388,164,9.332505578842508e-30,True
England vs Wales,0.2711903637611832,0.1520092621115221,388,61,0.009554345989264737,True
Scotland vs Wales,-0.007764424521060088,0.1520092621115221,164,61,2.3993600429409062e-05,True
