pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,-0.009674999999999878,-0.2694625000000004,385,164,9.57039399359324e-09,True,9.57039399359324e-09
England vs Wales,-0.009674999999999878,1.099650000000004,385,61,2.354522178512429e-09,True,4.709044357024858e-09
Scotland vs Wales,-0.2694625000000004,1.099650000000004,164,61,1.81346022616343e-13,True,5.44038067849029e-13
