metric,country,n,median,q25,q75
delta_gap,England,387,-2.0,-6.5,1.0
delta_gap,Scotland,164,3.5,0.25,6.8125
delta_gap,Wales,61,-2.0,-5.5,0.75
delta_freq,England,387,0.020689655172413834,-0.06379310344827588,0.07988505747126429
delta_freq,Scotland,164,-0.15574712643678146,-0.3415229885057473,-0.010632183908045961
delta_freq,Wales,61,-0.10057471264367801,-0.3396551724137935,0.026436781609195492
delta_recovery_rate,England,387,0.2343666546316001,0.05878215206002735,0.5200571102506586
delta_recovery_rate,Scotland,164,0.01262949607013436,-0.11422478313050313,0.13233771074693806
delta_recovery_rate,Wales,61,0.25800163992869907,0.08797634104461793,0.5545960360397884
delta_drought_dur,England,387,33.0,5.0,50.5
delta_drought_dur,Scotland,164,1.75,0.0,6.25
delta_drought_dur,Wales,61,7.0,1.0,34.25
delta_flood_peak,England,387,-0.05567499999999992,-0.2329624999999993,0.17436249999999998
delta_flood_peak,Scotland,164,-0.335700000000001,-0.9826562499999993,0.20041874999999965
delta_flood_peak,Wales,61,1.3091500000000007,0.16477500000000234,2.225749999999998
delta_sm_drought_end,England,387,-3.084699999999998,-8.332362500000002,-0.02621249999998554
delta_sm_drought_end,Scotland,164,-3.0923374999999993,-8.654093750000003,-0.3470750000000038
delta_sm_drought_end,Wales,61,-2.803199999999997,-7.30265,-0.8164249999999953
delta_sm_flood_onset,England,387,-0.275799999999947,-1.8370499999999907,0.4470749999999839
delta_sm_flood_onset,Scotland,164,-0.09907499999999914,-0.4034500000000065,0.0016562499999999147
delta_sm_flood_onset,Wales,61,-0.04954999999999643,-0.2742250000000013,0.08147499999999752
