pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,16.875,0.0,388,164,7.315560725253971e-28,True,2.1946682175761913e-27
England vs Wales,16.875,3.0,388,61,0.0020960435752683123,True,0.0020960435752683123
Scotland vs Wales,0.0,3.0,164,61,3.5575879993922395e-07,True,7.115175998784479e-07
