pair,median1,median2,n1,n2,pvalue,significant
England vs Scotland,0.2343666546316001,0.01262949607013436,387,164,6.728902794258729e-23,True
England vs Wales,0.2343666546316001,0.25800163992869907,387,61,0.6557261405562708,False
Scotland vs Wales,0.01262949607013436,0.25800163992869907,164,61,5.375626628096408e-11,True
