pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,7.499999999993623e-05,-0.3127500000000003,388,164,6.657551878139713e-10,True,6.657551878139713e-10
England vs Wales,7.499999999993623e-05,1.292774999999999,388,61,7.600423786848971e-12,True,1.5200847573697942e-11
Scotland vs Wales,-0.3127500000000003,1.292774999999999,164,61,1.0508593347621484e-15,True,3.1525780042864453e-15
