pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,-0.05567499999999992,-0.335700000000001,387,164,8.814198299624943e-07,True,8.814198299624943e-07
England vs Wales,-0.05567499999999992,1.3091500000000007,387,61,1.4985386727345644e-12,True,2.9970773454691288e-12
Scotland vs Wales,-0.335700000000001,1.3091500000000007,164,61,1.330747139912535e-14,True,3.992241419737605e-14
