pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,-2.0,3.5,387,164,7.2869654475482515e-25,True,2.1860896342644754e-24
England vs Wales,-2.0,-2.0,387,61,0.6890642022167359,False,0.6890642022167359
Scotland vs Wales,3.5,-2.0,164,61,1.2965462157502834e-12,True,2.593092431500567e-12
