pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,0.30728501833066724,0.09639547685121519,387,164,2.09246330100881e-15,True,6.2773899030264294e-15
England vs Wales,0.30728501833066724,0.4512839653168238,387,60,0.03570373634893114,True,0.03570373634893114
Scotland vs Wales,0.09639547685121519,0.4512839653168238,164,60,1.2263462504974217e-10,True,2.4526925009948433e-10
