metric,country,n,median,q25,q75
delta_gap,England,388,-3.25,-8.0,0.0
delta_gap,Scotland,164,2.125,-0.75,6.5
delta_gap,Wales,61,-0.5,-3.5,3.0
delta_freq,England,388,0.037643678160919625,-0.033333333333333326,0.09367816091954019
delta_freq,Scotland,164,-0.10660919540229885,-0.3093390804597701,-0.006609195402298651
delta_freq,Wales,61,-0.056321839080459846,-0.2597701149425289,0.031609195402299006
delta_recovery_rate,England,388,0.2711903637611832,0.11515520600505158,0.4623509841528844
delta_recovery_rate,Scotland,164,-0.007764424521060088,-0.10834110316352563,0.12068429760287325
delta_recovery_rate,Wales,61,0.1520092621115221,-0.022265877898560937,0.442008185197156
delta_drought_dur,England,388,16.875,1.5,35.5
delta_drought_dur,Scotland,164,0.0,-1.0,2.25
delta_drought_dur,Wales,61,3.0,0.5,20.5
delta_flood_peak,England,388,7.499999999993623e-05,-0.1711562499999999,0.25221249999999984
delta_flood_peak,Scotland,164,-0.3127500000000003,-0.8747312499999986,0.1669375000000004
delta_flood_peak,Wales,61,1.292774999999999,0.382324999999998,2.171925
delta_sm_drought_end,England,388,-3.27181250000001,-8.002943750000014,-0.4297624999999954
delta_sm_drought_end,Scotland,164,-1.8279374999999973,-6.08752500000001,-0.1670999999999978
delta_sm_drought_end,Wales,61,-3.018099999999997,-5.782625000000003,-0.7815999999999974
delta_sm_flood_onset,England,388,-0.2952625000000104,-2.068275,0.6010249999999999
delta_sm_flood_onset,Scotland,164,-0.0727499999999992,-0.41818750000002325,0.04237500000001759
delta_sm_flood_onset,Wales,61,-0.01567500000000166,-0.17755000000001075,0.16627499999999884
