metric,country,n,median,q25,q75
delta_gap,England,387,-4.0,-8.0,-0.125
delta_gap,Scotland,164,2.75,-1.25,7.0625
delta_gap,Wales,60,-2.5,-6.3125,0.5
delta_freq,England,387,0.08275862068965512,-0.001436781609195359,0.1508620689655172
delta_freq,Scotland,164,-0.19339080459770114,-0.4551724137931033,-0.007758620689655105
delta_freq,Wales,60,-0.0882183908045977,-0.5343390804597702,0.051724137931034475
delta_recovery_rate,England,387,0.30728501833066724,0.11841223144540458,0.5926811568686918
delta_recovery_rate,Scotland,164,0.09639547685121519,-0.04868402815934075,0.2730677926322544
delta_recovery_rate,Wales,60,0.4512839653168238,0.1992696309194535,0.7358059310413236
delta_drought_dur,England,387,64.5,11.25,87.5
delta_drought_dur,Scotland,164,5.0,1.6875,19.25
delta_drought_dur,Wales,60,37.5,2.5,68.3125
delta_flood_peak,England,387,0.024499999999999744,-0.1471125000000002,0.26144999999999996
delta_flood_peak,Scotland,164,0.036487499999998896,-0.6101937500000003,0.8127249999999999
delta_flood_peak,Wales,60,1.3954000000000004,0.14225000000000287,2.6018437500000005
delta_sm_drought_end,England,387,-2.35390000000001,-8.250487499999998,0.7396125000000069
delta_sm_drought_end,Scotland,164,-4.039175000000002,-11.035537499999998,-0.2865500000000001
delta_sm_drought_end,Wales,60,-3.396975000000001,-9.067731250000001,-0.7861249999999984
delta_sm_flood_onset,England,387,-0.3101249999999993,-2.0505625000000265,0.3343500000000006
delta_sm_flood_onset,Scotland,164,-0.09041249999999934,-0.39649374999997633,0.023262499999992414
delta_sm_flood_onset,Wales,60,0.02957500000000124,-0.08381874999999539,0.3726812499999781
