pair,median1,median2,n1,n2,pvalue,significant,pvalue_holm
England vs Scotland,36.0,1.125,385,164,3.960996055737565e-32,True,1.1882988167212696e-31
England vs Wales,36.0,3.25,385,61,2.717262456851608e-06,True,5.434524913703216e-06
Scotland vs Wales,1.125,3.25,164,61,0.0020271113533246415,True,0.0020271113533246415
